"","Species","Seine Only","Visual Only","All Absent","All Detected","eDNA & BRUV","eDNA Only","eDNA & Seine","BRUV Only","Domain","Phylum","Class","Order","Family","Genus"
"1","Amphistichus argenteus",0.4375,0.5625,0,0,0,0,0,0,NA,NA,"Actinopteri",NA,NA,NA
"2","Anisotremus davidsonii",0,0,0.611111111111111,0.0555555555555556,0.0555555555555556,0.277777777777778,0,0,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Anisotremus"
"3","Atherinops affinis",0,0,0,0.444444444444444,0.222222222222222,0.166666666666667,0.166666666666667,0,"Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Atherinops"
"4","Atractoscion nobilis",0.111111111111111,0,0.5,0,0,0.388888888888889,0,0,"Eukaryota","Chordata","Actinopteri","","Sciaenidae","Atractoscion"
"5","Bodianus pulcher",0,0,0.388888888888889,0,0.0555555555555556,0.555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Bodianus"
"6","Brachygenys californiensis",0,0,0.777777777777778,0.0555555555555556,0,0.166666666666667,0,0,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Brachygenys"
"7","Brachyistius frenatus",0,0,0.5,0,0,0.5,0,0,"Eukaryota","Chordata","Actinopteri","","Embiotocidae","Brachyistius"
"8","Cebidichthys violaceus",0,0,0.611111111111111,0,0,0.388888888888889,0,0,"Eukaryota","Chordata","Actinopteri","Perciformes","Stichaeidae","Cebidichthys"
"9","Cheilopogon pinnatibarbatus",0,0,0.722222222222222,0,0,0.277777777777778,0,0,"Eukaryota","Chordata","Actinopteri","Beloniformes","Exocoetidae","Cheilopogon"
"10","Cheilotrema saturnum",0,0,0.944444444444444,0,0,0.0555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","","Sciaenidae","Cheilotrema"
"11","Chilara taylori",0,0,0.833333333333333,0,0,0.166666666666667,0,0,"Eukaryota","Chordata","Actinopteri","Ophidiiformes","Ophidiidae","Chilara"
"12","Chromis punctipinnis",0,0,0.722222222222222,0,0,0.277777777777778,0,0,"Eukaryota","Chordata","Actinopteri","","Pomacentridae","Chromis"
"13","Citharichthys sordidus",0,0,0.555555555555556,0,0,0.444444444444444,0,0,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Citharichthys"
"14","Citharichthys stigmaeus",0,0,0.222222222222222,0.0555555555555556,0.444444444444444,0.166666666666667,0,0.111111111111111,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Citharichthys"
"15","Clinocottus analis",0,0,0.444444444444444,0,0,0.555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Clinocottus"
"16","Clinocottus recalvus",0,0,0.777777777777778,0,0,0.222222222222222,0,0,"Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Clinocottus"
"17","Cymatogaster aggregata",0,0,0.722222222222222,0,0,0.222222222222222,0.0555555555555556,0,"Eukaryota","Chordata","Actinopteri","","Embiotocidae","Cymatogaster"
"18","Embiotoca jacksoni",0,0,0.111111111111111,0,0.111111111111111,0.666666666666667,0.111111111111111,0,"Eukaryota","Chordata","Actinopteri","","Embiotocidae","Embiotoca"
"19","Embiotoca lateralis",0,0,0.611111111111111,0,0,0.388888888888889,0,0,"Eukaryota","Chordata","Actinopteri","","Embiotocidae","Embiotoca"
"20","Engraulis mordax",0,0,0.111111111111111,0,0.0555555555555556,0.666666666666667,0.166666666666667,0,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis"
"21","Etrumeus teres",0,0,0.888888888888889,0,0,0.111111111111111,0,0,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Dussumieriidae","Etrumeus"
"22","Fodiator acutus",0,0,0.944444444444444,0,0,0.0555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","Beloniformes","Exocoetidae","Fodiator"
"23","Genyonemus lineatus",0,0,0.888888888888889,0,0,0.111111111111111,0,0,"Eukaryota","Chordata","Actinopteri","","Sciaenidae","Genyonemus"
"24","Gibbonsia montereyensis",0,0,0.277777777777778,0,0,0.722222222222222,0,0,"Eukaryota","Chordata","Actinopteri","Blenniiformes","Clinidae","Gibbonsia"
"25","Girella nigricans",0,0,0.166666666666667,0,0.166666666666667,0.666666666666667,0,0,"Eukaryota","Chordata","Actinopteri","Centrarchiformes","Kyphosidae","Girella"
"26","Gobiesox rhessodon",0,0,0.555555555555556,0,0,0.444444444444444,0,0,"Eukaryota","Chordata","Actinopteri","Blenniiformes","Gobiesocidae","Gobiesox"
"27","Gymnothorax mordax",0,0,0.777777777777778,0,0.0555555555555556,0.166666666666667,0,0,"Eukaryota","Chordata","Actinopteri","Anguilliformes","Muraenidae","Gymnothorax"
