"","Species","All Absent","eDNA Only","All Detected","eDNA & BRUV","eDNA & Seine","Seine Only","BRUV Only","Domain","Phylum","Class","Order","Family","Genus"
"1","Anisotremus davidsonii",0.611111111111111,0.277777777777778,0.0555555555555556,0.0555555555555556,0,0,0,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Anisotremus"
"2","Atherinops affinis",0,0.166666666666667,0.444444444444444,0.222222222222222,0.166666666666667,0,0,"Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Atherinops"
"3","Atractoscion nobilis",0.5,0.388888888888889,0,0,0,0.111111111111111,0,"Eukaryota","Chordata","Actinopteri","","Sciaenidae","Atractoscion"
"4","Bodianus pulcher",0.388888888888889,0.555555555555556,0,0.0555555555555556,0,0,0,"Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Bodianus"
"5","Brachygenys californiensis",0.777777777777778,0.166666666666667,0.0555555555555556,0,0,0,0,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Brachygenys"
"6","Citharichthys stigmaeus",0.222222222222222,0.166666666666667,0.0555555555555556,0.444444444444444,0,0,0.111111111111111,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Citharichthys"
"7","Cymatogaster aggregata",0.722222222222222,0.222222222222222,0,0,0.0555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","","Embiotocidae","Cymatogaster"
"8","Embiotoca jacksoni",0.111111111111111,0.666666666666667,0,0.111111111111111,0.111111111111111,0,0,"Eukaryota","Chordata","Actinopteri","","Embiotocidae","Embiotoca"
"9","Engraulis mordax",0.111111111111111,0.666666666666667,0,0.0555555555555556,0.166666666666667,0,0,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis"
"10","Girella nigricans",0.166666666666667,0.666666666666667,0,0.166666666666667,0,0,0,"Eukaryota","Chordata","Actinopteri","Centrarchiformes","Kyphosidae","Girella"
"11","Gymnothorax mordax",0.777777777777778,0.166666666666667,0,0.0555555555555556,0,0,0,"Eukaryota","Chordata","Actinopteri","Anguilliformes","Muraenidae","Gymnothorax"
"12","Halichoeres californica",0.277777777777778,0.666666666666667,0,0.0555555555555556,0,0,0,"Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Halichoeres"
"13","Halichoeres semicinctus",0.444444444444444,0.444444444444444,0.0555555555555556,0.0555555555555556,0,0,0,"Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Halichoeres"
"14","Heterostichus rostratus",0,0.833333333333333,0,0.0555555555555556,0.0555555555555556,0.0555555555555556,0,"Eukaryota","Chordata","Actinopteri","Blenniiformes","Clinidae","Heterostichus"
"15","Leuresthes tenuis",0.166666666666667,0.611111111111111,0,0,0.166666666666667,0.0555555555555556,0,"Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Leuresthes"
"16","Medialuna californiensis",0.5,0.444444444444444,0,0.0555555555555556,0,0,0,"Eukaryota","Chordata","Actinopteri","Centrarchiformes","Kyphosidae","Medialuna"
"17","Menticirrhus undulatus",0.5,0.277777777777778,0.111111111111111,0,0.111111111111111,0,0,"Eukaryota","Chordata","Actinopteri","","Sciaenidae","Menticirrhus"
"18","Micrometrus minimus",0.277777777777778,0.388888888888889,0.0555555555555556,0,0.222222222222222,0.0555555555555556,0,"Eukaryota","Chordata","Actinopteri","","Embiotocidae","Micrometrus"
"19","Paralabrax clathratus",0.388888888888889,0.333333333333333,0,0.277777777777778,0,0,0,"Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Paralabrax"
"20","Paralabrax nebulifer",0.833333333333333,0.111111111111111,0,0.0555555555555556,0,0,0,"Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Paralabrax"
"21","Paralichthys californicus",0.444444444444444,0.444444444444444,0.0555555555555556,0.0555555555555556,0,0,0,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys"
"22","Sardinops sagax",0.277777777777778,0.666666666666667,0,0,0.0555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sardinops"
"23","Seriphus politus",0.5,0.444444444444444,0,0,0.0555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","","Sciaenidae","Seriphus"
"24","Sphyraena argentea",0.555555555555556,0.333333333333333,0,0.111111111111111,0,0,0,"Eukaryota","Chordata","Actinopteri","","Sphyraenidae","Sphyraena"
"25","Surfperch",0.0454545454545455,0,0.454545454545455,0.0454545454545455,0.454545454545455,0,0,"Eukaryota","Chordata","Actinopteri","","Embiotocidae","Surfperch"
"26","Syngnathus sp.",0.444444444444444,0.388888888888889,0,0,0.111111111111111,0,0.0555555555555556,"Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus"
"27","Trachurus symmetricus",0.444444444444444,0.5,0,0.0555555555555556,0,0,0,"Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus"
"28","Umbrina roncador",0.5,0.222222222222222,0.0555555555555556,0.111111111111111,0.111111111111111,0,0,"Eukaryota","Chordata","Actinopteri","","Sciaenidae","Umbrina"
"29","Galeorhinus galeus",0.777777777777778,0.166666666666667,0,0.0555555555555556,0,0,0,"Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Galeorhinus"
"30","Myliobatis californica",0,0.333333333333333,0.0555555555555556,0.555555555555556,0,0,0.0555555555555556,"Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Myliobatis"
"31","Platyrhinoidis triseriata",0.277777777777778,0.555555555555556,0,0.166666666666667,0,0,0,"Eukaryota","Chordata","Chondrichthyes","","Platyrhinidae","Platyrhinoidis"
"32","Pseudobatos productus",0.611111111111111,0.111111111111111,0,0.277777777777778,0,0,0,"Eukaryota","Chordata","Chondrichthyes","Pristiformes/Rhiniformes group","Rhinobatidae","Pseudobatos"
"33","Triakis semifasciata",0.111111111111111,0.0555555555555556,0.166666666666667,0.555555555555556,0,0,0.111111111111111,"Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Triakis"
"34","Urobatis halleri",0.722222222222222,0.0555555555555556,0,0.166666666666667,0,0.0555555555555556,0,"Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Urolophidae","Urobatis"
