"","Species","Site","e_index","sd_e_index","mean_seine_count","sd_seine_count","matching","matching2","eDNA_Presence_tot","nps_Presence_tot","eDNA_detect","Seine_detect"
"1","","Bechers",0.117464431688082,0.117464431688082,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"2","","Ben_Weston",0.21923237181395,0.21923237181395,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"3","","China_Camp",0.392701900807398,0.392701900807398,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"4","","Christy",0.406983032533213,0.406983032533213,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"5","","Coches",0.297254405648832,0.297254405648832,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"6","","Cuylers_Harbor",0.278537165271734,0.278537165271734,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"7","","Dangermond",0.249969022430038,0.249969022430038,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"8","","Emerald_Bay",0,0,0,0,"Both.Missed","Matching",29.2689386081483,0,"eDNA.Detected","missing"
"9","","Ford_Pt",0.0351460977446696,0.0351460977446696,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"10","","Forney",0.181659771917478,0.181659771917478,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"11","","Little_Harbor",0.187509895627193,0.187509895627193,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"12","","R_Beach",0.189076153813005,0.189076153813005,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"13","","Sandy_Point",0.328645316545625,0.328645316545625,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"14","","Santa_Claus",0.113828039596475,0.113828039596475,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"15","","Santa_Monica",0.00204312357563918,0.00204312357563918,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"16","","Soledad",0.454137255665298,0.454137255665298,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"17","","Southeast_Anchorage",0.326630882469391,0.326630882469391,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"18","","Water_Canyon",1,1,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"19","","Bechers",0.237168816324279,0.237168816324279,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"20","","Ben_Weston",0.433242144836926,0.433242144836926,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"21","","China_Camp",0,0,0,0,"Both.Missed","Matching",29.2689386081483,0,"eDNA.Detected","missing"
"22","","Christy",0.502574459190839,0.502574459190839,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"23","","Coches",1,1,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"24","","Cuylers_Harbor",0.505679344785676,0.505679344785676,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"25","","Dangermond",0.255372554078861,0.255372554078861,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"26","","Emerald_Bay",0,0,0,0,"Both.Missed","Matching",29.2689386081483,0,"eDNA.Detected","missing"
"27","","Ford_Pt",0,0,0,0,"Both.Missed","Matching",29.2689386081483,0,"eDNA.Detected","missing"
"28","","Forney",0.285271393619766,0.285271393619766,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"29","","Little_Harbor",0,0,0,0,"Both.Missed","Matching",29.2689386081483,0,"eDNA.Detected","missing"
"30","","R_Beach",0.630391059115434,0.630391059115434,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"31","","Sandy_Point",0.166097646595694,0.166097646595694,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"32","","Santa_Claus",0,0,0,0,"Both.Missed","Matching",29.2689386081483,0,"eDNA.Detected","missing"
"33","","Santa_Monica",0,0,0,0,"Both.Missed","Matching",29.2689386081483,0,"eDNA.Detected","missing"
"34","","Soledad",0.364513235353477,0.364513235353477,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"35","","Southeast_Anchorage",0.0396162490469959,0.0396162490469959,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"36","","Water_Canyon",0.300640480972698,0.300640480972698,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",29.2689386081483,0,"eDNA.Detected","missing"
"37","Brachyistius frenatus","Bechers",0.167670570819509,0.167670570819509,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.25255998552337,0,"eDNA.Detected","missing"
"38","Brachyistius frenatus","Ben_Weston",0.127036144519838,0.127036144519838,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.25255998552337,0,"eDNA.Detected","missing"
"39","Brachyistius frenatus","China_Camp",0.123296201038062,0.123296201038062,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.25255998552337,0,"eDNA.Detected","missing"
"40","Brachyistius frenatus","Christy",0,0,0,0,"Both.Missed","Matching",2.25255998552337,0,"eDNA.Detected","missing"
"41","Brachyistius frenatus","Coches",0.220908416199266,0.220908416199266,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.25255998552337,0,"eDNA.Detected","missing"
"42","Brachyistius frenatus","Cuylers_Harbor",0,0,0,0,"Both.Missed","Matching",2.25255998552337,0,"eDNA.Detected","missing"
"43","Brachyistius frenatus","Dangermond",0,0,0,0,"Both.Missed","Matching",2.25255998552337,0,"eDNA.Detected","missing"
"44","Brachyistius frenatus","Emerald_Bay",0,0,0,0,"Both.Missed","Matching",2.25255998552337,0,"eDNA.Detected","missing"
"45","Brachyistius frenatus","Ford_Pt",0,0,0,0,"Both.Missed","Matching",2.25255998552337,0,"eDNA.Detected","missing"
"46","Brachyistius frenatus","Forney",0.107078363622853,0.107078363622853,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.25255998552337,0,"eDNA.Detected","missing"
"47","Brachyistius frenatus","Little_Harbor",0,0,0,0,"Both.Missed","Matching",2.25255998552337,0,"eDNA.Detected","missing"
"48","Brachyistius frenatus","R_Beach",0.190915144701848,0.190915144701848,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.25255998552337,0,"eDNA.Detected","missing"
"49","Brachyistius frenatus","Sandy_Point",1,1,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.25255998552337,0,"eDNA.Detected","missing"
"50","Brachyistius frenatus","Santa_Claus",0,0,0,0,"Both.Missed","Matching",2.25255998552337,0,"eDNA.Detected","missing"
"51","Brachyistius frenatus","Santa_Monica",0,0,0,0,"Both.Missed","Matching",2.25255998552337,0,"eDNA.Detected","missing"
"52","Brachyistius frenatus","Soledad",0.195676884207821,0.195676884207821,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.25255998552337,0,"eDNA.Detected","missing"
"53","Brachyistius frenatus","Southeast_Anchorage",0,0,0,0,"Both.Missed","Matching",2.25255998552337,0,"eDNA.Detected","missing"
"54","Brachyistius frenatus","Water_Canyon",0.119978260414173,0.119978260414173,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.25255998552337,0,"eDNA.Detected","missing"
"55","Cymatogaster aggregata","Bechers",0.394984565080805,0.394984565080805,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"56","Cymatogaster aggregata","Ben_Weston",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"57","Cymatogaster aggregata","China_Camp",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"58","Cymatogaster aggregata","Christy",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"59","Cymatogaster aggregata","Coches",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"60","Cymatogaster aggregata","Cuylers_Harbor",1,1,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"61","Cymatogaster aggregata","Dangermond",0.00710530547347496,0.00710530547347496,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"62","Cymatogaster aggregata","Emerald_Bay",0.279732272954061,0.279732272954061,2,0,"Both.Detected","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"63","Cymatogaster aggregata","Ford_Pt",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"64","Cymatogaster aggregata","Forney",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"65","Cymatogaster aggregata","Little_Harbor",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"66","Cymatogaster aggregata","R_Beach",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"67","Cymatogaster aggregata","Sandy_Point",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
