sum.taxonomy	c19_fishcard_ALL.MIU.1.S31	c19_fishcard_ALL.MIU.2.S110	c19_fishcard_ALL.MIU.3.S189	c19_fishcard_BBA.MIU.1.S34	c19_fishcard_BBA.MIU.2.S113	c19_fishcard_BBA.MIU.3.S192	c19_fishcard_BBB.MIU.1.S35	c19_fishcard_BBB.MIU.2.S114	c19_fishcard_BBB.MIU.3.S193	c19_fishcard_BBC.MIU.1.S36	c19_fishcard_BBC.MIU.2.S115	c19_fishcard_BBC.MIU.3.S194	c19_fishcard_BWA.MIU.1.S49	c19_fishcard_BWA.MIU.2.S128	c19_fishcard_BWA.MIU.3.S207	c19_fishcard_BWB.MIU.1.S50	c19_fishcard_BWB.MIU.2.S129	c19_fishcard_BWB.MIU.3.S208	c19_fishcard_BWC.MIU.1.S51	c19_fishcard_BWC.MIU.2.S130	c19_fishcard_BWC.MIU.3.S209	c19_fishcard_CAMEL.MIU.1.S58	c19_fishcard_CAMEL.MIU.2.S137	c19_fishcard_CAMEL.MIU.3.S216	c19_fishcard_CBA.MIU.1.S10	c19_fishcard_CBA.MIU.2.S89	c19_fishcard_CBA.MIU.3.S168	c19_fishcard_CBB.MIU.1.S11	c19_fishcard_CBB.MIU.2.S90	c19_fishcard_CBB.MIU.3.S169	c19_fishcard_CBC.MIU.1.S12	c19_fishcard_CBC.MIU.2.S91	c19_fishcard_CBC.MIU.3.S170	c19_fishcard_CCA.MIU.1.S25	c19_fishcard_CCA.MIU.2.S104	c19_fishcard_CCA.MIU.3.S183	c19_fishcard_CCB.MIU.1.S26	c19_fishcard_CCB.MIU.2.S105	c19_fishcard_CCB.MIU.3.S184	c19_fishcard_CCC.MIU.1.S27	c19_fishcard_CCC.MIU.2.S106	c19_fishcard_CCC.MIU.3.S185	c19_fishcard_CHA.MIU.1.S43	c19_fishcard_CHA.MIU.2.S122	c19_fishcard_CHA.MIU.3.S201	c19_fishcard_CHB.MIU.1.S44	c19_fishcard_CHB.MIU.2.S123	c19_fishcard_CHB.MIU.3.S202	c19_fishcard_CHC.MIU.1.S45	c19_fishcard_CHC.MIU.2.S124	c19_fishcard_CHC.MIU.3.S203	c19_fishcard_CPA.MIU.1.S4	c19_fishcard_CPA.MIU.2.S83	c19_fishcard_CPA.MIU.3.S162	c19_fishcard_CPB.MIU.1.S5	c19_fishcard_CPB.MIU.2.S84	c19_fishcard_CPB.MIU.3.S163	c19_fishcard_CPC.MIU.1.S6	c19_fishcard_CPC.MIU.2.S85	c19_fishcard_CPC.MIU.3.S164	c19_fishcard_DPA.MIU.1.S55	c19_fishcard_DPA.MIU.2.S134	c19_fishcard_DPA.MIU.3.S213	c19_fishcard_DPB.MIU.1.S56	c19_fishcard_DPB.MIU.2.S135	c19_fishcard_DPB.MIU.3.S214	c19_fishcard_DPC.MIU.1.S57	c19_fishcard_DPC.MIU.2.S136	c19_fishcard_DPC.MIU.3.S215	c19_fishcard_EBA.MIU.1.S46	c19_fishcard_EBA.MIU.2.S125	c19_fishcard_EBA.MIU.3.S204	c19_fishcard_EBB.MIU.1.S47	c19_fishcard_EBB.MIU.2.S126	c19_fishcard_EBB.MIU.3.S205	c19_fishcard_EBC.MIU.1.S48	c19_fishcard_EBC.MIU.2.S127	c19_fishcard_EBC.MIU.3.S206	c19_fishcard_FCA.MIU.1.S7	c19_fishcard_FCA.MIU.2.S86	c19_fishcard_FCA.MIU.3.S165	c19_fishcard_FCB.MIU.1.S8	c19_fishcard_FCB.MIU.2.S87	c19_fishcard_FCB.MIU.3.S166	c19_fishcard_FCC.MIU.1.S9	c19_fishcard_FCC.MIU.2.S88	c19_fishcard_FCC.MIU.3.S167	c19_fishcard_FPA.MIU.1.S16	c19_fishcard_FPA.MIU.2.S95	c19_fishcard_FPA.MIU.3.S174	c19_fishcard_FPB.MIU.1.S17	c19_fishcard_FPB.MIU.2.S96	c19_fishcard_FPB.MIU.3.S175	c19_fishcard_FPC.MIU.1.S18	c19_fishcard_FPC.MIU.2.S97	c19_fishcard_FPC.MIU.3.S176	c19_fishcard_LCZA.A.MIU.1.S63	c19_fishcard_LCZA.A.MIU.2.S142	c19_fishcard_LCZA.A.MIU.3.S221	c19_fishcard_LCZA.B.MIU.1.S64	c19_fishcard_LCZA.B.MIU.2.S143	c19_fishcard_LCZA.B.MIU.3.S222	c19_fishcard_LCZA.C.MIU.1.S65	c19_fishcard_LCZA.C.MIU.2.S144	c19_fishcard_LCZA.C.MIU.3.S223	c19_fishcard_LHA.MIU.1.S52	c19_fishcard_LHA.MIU.2.S131	c19_fishcard_LHA.MIU.3.S210	c19_fishcard_LHB.MIU.1.S53	c19_fishcard_LHB.MIU.2.S132	c19_fishcard_LHB.MIU.3.S211	c19_fishcard_LHC.MIU.1.S54	c19_fishcard_LHC.MIU.2.S133	c19_fishcard_LHC.MIU.3.S212	c19_fishcard_LTGOeDNA1.2.A.MIU.1.S72	c19_fishcard_LTGOeDNA1.2.A.MIU.2.S151	c19_fishcard_LTGOeDNA1.2.A.MIU.3.S230	c19_fishcard_LTGOeDNA1.2.B.MIU.1.S73	c19_fishcard_LTGOeDNA1.2.B.MIU.2.S152	c19_fishcard_LTGOeDNA1.2.B.MIU.3.S231	c19_fishcard_LTGOeDNA1.2.C.MIU.1.S74	c19_fishcard_LTGOeDNA1.2.C.MIU.2.S153	c19_fishcard_LTGOeDNA1.2.C.MIU.3.S232	c19_fishcard_LTGOeDNA5.0.A.MIU.1.S75	c19_fishcard_LTGOeDNA5.0.A.MIU.2.S154	c19_fishcard_LTGOeDNA5.0.A.MIU.3.S233	c19_fishcard_LTGOeDNA5.0.B.MIU.1.S76	c19_fishcard_LTGOeDNA5.0.B.MIU.2.S155	c19_fishcard_LTGOeDNA5.0.B.MIU.3.S234	c19_fishcard_LTGOeDNA5.0.C.MIU.1.S77	c19_fishcard_LTGOeDNA5.0.C.MIU.2.S156	c19_fishcard_LTGOeDNA5.0.C.MIU.3.S235	c19_fishcard_LTPG.A.MIU.1.S66	c19_fishcard_LTPG.A.MIU.2.S145	c19_fishcard_LTPG.A.MIU.3.S224	c19_fishcard_LTPG.B.MIU.1.S67	c19_fishcard_LTPG.B.MIU.2.S146	c19_fishcard_LTPG.B.MIU.3.S225	c19_fishcard_LTPG.C.MIU.1.S68	c19_fishcard_LTPG.C.MIU.2.S147	c19_fishcard_LTPG.C.MIU.3.S226	c19_fishcard_NEG.MIU.A.1.S32	c19_fishcard_NEG.MIU.B.1.S59	c19_fishcard_NEG.MIU.C.1.S79	c19_fishcard_PIDB.A.MIU.1.S69	c19_fishcard_PIDB.A.MIU.2.S148	c19_fishcard_PIDB.A.MIU.3.S227	c19_fishcard_PIDB.B.MIU.1.S70	c19_fishcard_PIDB.B.MIU.2.S149	c19_fishcard_PIDB.B.MIU.3.S228	c19_fishcard_PIDB.C.MIU.1.S71	c19_fishcard_PIDB.C.MIU.2.S150	c19_fishcard_PIDB.C.MIU.3.S229	c19_fishcard_PTDS.A.MIU.1.S60	c19_fishcard_PTDS.A.MIU.2.S139	c19_fishcard_PTDS.A.MIU.3.S218	c19_fishcard_PTDS.B.MIU.1.S61	c19_fishcard_PTDS.B.MIU.2.S140	c19_fishcard_PTDS.B.MIU.3.S219	c19_fishcard_PTDS.C.MIU.1.S62	c19_fishcard_PTDS.C.MIU.2.S141	c19_fishcard_PTDS.C.MIU.3.S220	c19_fishcard_RBA.MIU.1.S37	c19_fishcard_RBA.MIU.2.S116	c19_fishcard_RBA.MIU.3.S195	c19_fishcard_RBB.MIU.1.S38	c19_fishcard_RBB.MIU.2.S117	c19_fishcard_RBB.MIU.3.S196	c19_fishcard_RBC.MIU.1.S39	c19_fishcard_RBC.MIU.2.S118	c19_fishcard_RBC.MIU.3.S197	c19_fishcard_SAA.MIU.1.S28	c19_fishcard_SAA.MIU.2.S107	c19_fishcard_SAA.MIU.3.S186	c19_fishcard_SAB.MIU.1.S29	c19_fishcard_SAB.MIU.2.S108	c19_fishcard_SAB.MIU.3.S187	c19_fishcard_SAC.MIU.1.S30	c19_fishcard_SAC.MIU.2.S109	c19_fishcard_SAC.MIU.3.S188	c19_fishcard_SCA1127.MIU.1.S40	c19_fishcard_SCA1127.MIU.2.S119	c19_fishcard_SCA1127.MIU.3.S198	c19_fishcard_SCA927.MIU.1.S22	c19_fishcard_SCA927.MIU.2.S101	c19_fishcard_SCA927.MIU.3.S180	c19_fishcard_SCB1127.MIU.1.S41	c19_fishcard_SCB1127.MIU.2.S120	c19_fishcard_SCB1127.MIU.3.S199	c19_fishcard_SCB927.MIU.1.S23	c19_fishcard_SCB927.MIU.2.S102	c19_fishcard_SCB927.MIU.3.S181	c19_fishcard_SCC1127.MIU.1.S42	c19_fishcard_SCC1127.MIU.2.S121	c19_fishcard_SCC1127.MIU.3.S200	c19_fishcard_SCC927.MIU.1.S24	c19_fishcard_SCC927.MIU.2.S103	c19_fishcard_SCC927.MIU.3.S182	c19_fishcard_SMA.MIU.1.S1	c19_fishcard_SMA.MIU.2.S80	c19_fishcard_SMA.MIU.3.S159	c19_fishcard_SMB.MIU.1.S2	c19_fishcard_SMB.MIU.2.S81	c19_fishcard_SMB.MIU.3.S160	c19_fishcard_SMC.MIU.1.S3	c19_fishcard_SMC.MIU.2.S82	c19_fishcard_SMC.MIU.3.S161	c19_fishcard_SPA.MIU.1.S19	c19_fishcard_SPA.MIU.2.S98	c19_fishcard_SPA.MIU.3.S177	c19_fishcard_SPB.MIU.1.S20	c19_fishcard_SPB.MIU.2.S99	c19_fishcard_SPB.MIU.3.S178	c19_fishcard_SPC.MIU.1.S21	c19_fishcard_SPC.MIU.2.S100	c19_fishcard_SPC.MIU.3.S179	c19_fishcard_WCA.MIU.1.S13	c19_fishcard_WCA.MIU.2.S92	c19_fishcard_WCA.MIU.3.S171	c19_fishcard_WCB.MIU.1.S14	c19_fishcard_WCB.MIU.2.S93	c19_fishcard_WCB.MIU.3.S172	c19_fishcard_WCC.MIU.1.S15	c19_fishcard_WCC.MIU.2.S94	c19_fishcard_WCC.MIU.3.S173	c19_fishcard_X1.MIU.1.S33	c19_fishcard_X1.MIU.2.S112	c19_fishcard_X1.MIU.3.S191	c19_fishcard_Blank.MIU.1.S78	c19_fishcard_Blank.MIU.3.S236	c19_fishcard_NEG.MIU.A.2.S111	c19_fishcard_NEG.MIU.B.3.S217	c19_fishcard_NEG.MIU.C.3.S237
Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Gnathophis;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	529	622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Gnathophis;Gnathophis bathytopos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Gnathophis;Gnathophis heterognathos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax	0	0	0	0	0	0	0	0	0	0	0	0	5382	0	0	453	0	0	4275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2723	5014	1058	959	209	0	2761	3247	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	635	596	9	16	785	0	0	0	0	0	0	0	0	0	0	0	14	0	15773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax polyuranodon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Ophichthidae;Myrophis;Myrophis vafer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinopsis;Atherinopsis californiensis	0	0	0	30134	66341	35960	33041	41159	48596	23156	57375	61078	64717	26614	11501	18175	19016	8723	29931	9966	25824	0	0	0	56664	35862	22465	55603	28414	19426	79161	21427	27998	0	6569	0	3712	0	0	0	0	8709	9439	19121	13441	12139	69494	39526	15792	21453	11078	17784	6618	34003	47701	71392	45803	66091	13468	22237	2347	968	20946	2566	3534	1860	8335	15323	1951	9001	15557	6029	10485	10220	35947	16118	18601	15072	1403	2354	3064	0	1432	1774	0	0	4482	7996	4964	16339	37038	0	0	25849	5693	13483	6240	1542	9762	3569	3906	4375	18859	1731	22655	13001	18500	15116	17739	15165	44109	4175	8595	17160	13595	0	0	0	0	0	33995	23475	0	5185	5796	49300	20901	671	32249	7552	0	33317	2998	5458	6548	419	1734	4195	2095	2106	7885	0	0	20654	66	9039	13470	7805	2690	3390	15880	1933	12638	7889	15687	43549	7913	38109	57724	6050	15715	55870	8005	29829	5211	6734	6701	11460	4106	6086	11514	20416	8978	37093	30208	29170	48835	13430	19773	0	9859	11342	13406	0	0	4218	19505	10752	15484	2706	2413	0	14155	6833	5315	0	0	0	17139	4823	8302	20383	2933	0	11478	9787	3452	843	4457	5720	10438	8289	24099	19806	0	10374	30219	4346	11048	8532	8295	10087	10977	25873	13516	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis	0	0	10	0	1200	0	54	0	928	0	50	0	0	0	0	5125	1726	683	4505	2684	6	0	0	0	6290	2	0	10510	1	1602	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	69	0	1083	276	573	316	0	3	1	915	10565	2906	2852	0	450	1198	0	6412	1154	4417	0	1	2693	560	0	0	0	1	0	1	0	3	513	2057	0	0	2253	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2454	2449	0	1514	4000	5210	843	7810	177	259	51	0	0	1	0	0	197	1	0	0	0	4015	0	13391	0	0	968	1218	1	0	0	1	0	5173	41	15552	789	7303	1273	4276	7164	0	1417	2404	0	0	0	885	5574	12519	7916	1355	12835	471	1348	13078	1204	748	3492	750	2980	3839	866	2542	3983	416	0	500	279	1386	471	278	618	0	0	0	0	0	3971	0	0	0	0	3148	4578	10588	0	0	0	4650	11999	8676	0	0	0	8848	3080	2091	0	0	0	0	1000	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6135	0	0	683	0	2872	3611	1766	5032	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;NA;	0	0	0	0	0	0	0	0	1	0	0	0	21	5	4	6	1	7	9	28	6	0	0	0	5	8	1	13	2	5	10	9	17	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	4	6	9	23	16	23	5	9	0	0	1	0	0	0	0	3	0	7	6	1	2	4	6	10	5	16	0	0	1	0	0	0	0	0	0	4	0	3	107	0	0	8	0	0	5	0	5	0	0	0	4	1	2	5	10	6	18	9	28	0	10	21	3	0	0	0	0	0	3	0	0	1	3	5	2	0	17	2	0	1	1	0	2	0	1	1	2	0	1	0	0	0	0	1	2	1	3	0	2	0	0	3	2	7	0	10	6	1	2	19	0	5	1	0	1	0	2	0	2	0	0	0	0	0	2	0	0	0	2	3	1	0	0	1	0	0	2	2	1	0	5	0	2	0	0	0	8	1	2	34	0	0	4	3	0	1	0	0	34	22	81	4	0	2	0	0	0	0	0	0	4	3	1	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
