"","BRUV_Number","Site","Site_Code","Species","MaxN"
"1","Cuyler_Harbor_1","Cuyler_Harbor","CH","Atherinops_affinis",3
"2","Cuyler_Harbor_1","Cuyler_Harbor","CH","Citharichthys_stigmaeus",10
"3","Cuyler_Harbor_1","Cuyler_Harbor","CH","Triakis_semifasciata",1
"4","Cuyler_Harbor_2","Cuyler_Harbor","CH","Atherinops_affinis",4
"5","Cuyler_Harbor_2","Cuyler_Harbor","CH","Citharichthys_stigmaeus",9
"6","Cuyler_Harbor_2","Cuyler_Harbor","CH","Paralichthys_californicus",1
"7","Cuyler_Harbor_2","Cuyler_Harbor","CH","Triakis_semifasciata",1
"8","Cuyler_Harbor_3","Cuyler_Harbor","CH","Atherinops_affinis",8
"9","Cuyler_Harbor_3","Cuyler_Harbor","CH","Citharichthys_stigmaeus",3
"10","Sandy_Point_1","Sandy_Point","SP","Amphistichus_argenteus",10
"11","Sandy_Point_1","Sandy_Point","SP","Atherinops_affinis",2
"12","Sandy_Point_1","Sandy_Point","SP","Myliobatis_californica",1
"13","Sandy_Point_2","Sandy_Point","SP","Amphistichus_argenteus",3
"14","Sandy_Point_2","Sandy_Point","SP","Citharichthys_stigmaeus",5
"15","Sandy_Point_2","Sandy_Point","SP","Triakis_semifasciata",1
"16","Sandy_Point_3","Sandy_Point","SP","Amphistichus_argenteus",5
"17","Sandy_Point_3","Sandy_Point","SP","Myliobatis_californica",1
"18","China_Camp_1","China_Camp","CC","Citharichthys_stigmaeus",1
"19","China_Camp_1","China_Camp","CC","Phoca_vitulina",1
"20","China_Camp_2","China_Camp","CC","Amphistichus_argenteus",7
"21","China_Camp_2","China_Camp","CC","Citharichthys_stigmaeus",1
"22","China_Camp_4","China_Camp","CC","Amphistichus_argenteus",7
"23","Ford_Point_1","Ford_Pt","FP","Amphistichus_argenteus",8
"24","Ford_Point_1","Ford_Pt","FP","Atherinops_affinis",2
"25","Ford_Point_1","Ford_Pt","FP","Myliobatis_californica",1
"26","Ford_Point_2","Ford_Pt","FP","Amphistichus_argenteus",6
"27","Ford_Point_2","Ford_Pt","FP","Atherinops_affinis",5
"28","Ford_Point_2","Ford_Pt","FP","Citharichthys_stigmaeus",2
"29","Ford_Point_3","Ford_Pt","FP","Amphistichus_argenteus",2
"30","Ford_Point_3","Ford_Pt","FP","Atherinops_affinis",3
"31","Ford_Point_3","Ford_Pt","FP","Citharichthys_stigmaeus",2
"32","Bechers_Bay_1","Bechers","BB","Amphistichus_argenteus",5
"33","Bechers_Bay_1","Bechers","BB","Atherinops_affinis",1
"34","Bechers_Bay_1","Bechers","BB","Citharichthys_stigmaeus",2
"35","Bechers_Bay_1","Bechers","BB","Triakis_semifasciata",1
"36","Bechers_Bay_2","Bechers","BB","Amphistichus_argenteus",4
"37","Bechers_Bay_2","Bechers","BB","Citharichthys_stigmaeus",1
"38","Bechers_Bay_2","Bechers","BB","Embiotoca_jacksoni",1
"39","Bechers_Bay_2","Bechers","BB","Platyrhinoidis_triseriata",1
"40","Bechers_Bay_2","Bechers","BB","Syngnathus_unknown",1
"41","Bechers_Bay_2","Bechers","BB","Triakis_semifasciata",2
"42","Bechers_Bay_3","Bechers","BB","Atherinops_affinis",4
"43","Bechers_Bay_3","Bechers","BB","Citharichthys_stigmaeus",2
"44","Bechers_Bay_3","Bechers","BB","Platyrhinoidis_triseriata",1
"45","Bechers_Bay_3","Bechers","BB","Triakis_semifasciata",1
"46","Water_Canyon_1","Water_Canyon","WC","Amphistichus_argenteus",2
"47","Water_Canyon_1","Water_Canyon","WC","Atherinops_affinis",2
"48","Water_Canyon_1","Water_Canyon","WC","Myliobatis_californica",3
"49","Water_Canyon_1","Water_Canyon","WC","Triakis_semifasciata",1
"50","Water_Canyon_2","Water_Canyon","WC","Amphistichus_argenteus",12
"51","Water_Canyon_2","Water_Canyon","WC","Atherinops_affinis",2
"52","Water_Canyon_2","Water_Canyon","WC","Galeorhinus_galeus",1
"53","Water_Canyon_2","Water_Canyon","WC","Myliobatis_californica",4
