BRUV_Number,Site,Site_Code,Species,MaxN
1,Cuylers_Harbor,CH,Atherinops_affinis,3
1,Cuylers_Harbor,CH,Citharichthys_stigmaeus,10
1,Cuylers_Harbor,CH,Triakis_semifasciata,1
2,Cuylers_Harbor,CH,Atherinops_affinis,4
2,Cuylers_Harbor,CH,Citharichthys_stigmaeus,9
2,Cuylers_Harbor,CH,Paralichthys_californicus,1
2,Cuylers_Harbor,CH,Triakis_semifasciata,1
3,Cuylers_Harbor,CH,Atherinops_affinis,8
3,Cuylers_Harbor,CH,Citharichthys_stigmaeus,3
1,Sandy_Point,SP,Amphistichus_argenteus,10
1,Sandy_Point,SP,Atherinops_affinis,2
1,Sandy_Point,SP,Myliobatis_californica,1
2,Sandy_Point,SP,Amphistichus_argenteus,3
2,Sandy_Point,SP,Citharichthys_stigmaeus,5
2,Sandy_Point,SP,Triakis_semifasciata,1
3,Sandy_Point,SP,Amphistichus_argenteus,5
3,Sandy_Point,SP,Myliobatis_californica,1
1,China_Camp,CC,Citharichthys_stigmaeus,1
1,China_Camp,CC,Phoca_vitulina,1
2,China_Camp,CC,Amphistichus_argenteus,7
2,China_Camp,CC,Citharichthys_stigmaeus,1
3,China_Camp,CC,Amphistichus_argenteus,7
1,Ford_Pt,FP,Amphistichus_argenteus,8
1,Ford_Pt,FP,Atherinops_affinis,2
1,Ford_Pt,FP,Myliobatis_californica,1
2,Ford_Pt,FP,Amphistichus_argenteus,6
2,Ford_Pt,FP,Atherinops_affinis,5
2,Ford_Pt,FP,Citharichthys_stigmaeus,2
3,Ford_Pt,FP,Amphistichus_argenteus,2
3,Ford_Pt,FP,Atherinops_affinis,3
3,Ford_Pt,FP,Citharichthys_stigmaeus,2
1,Bechers,BB,Amphistichus_argenteus,5
1,Bechers,BB,Atherinops_affinis,1
1,Bechers,BB,Citharichthys_stigmaeus,2
1,Bechers,BB,Triakis_semifasciata,1
2,Bechers,BB,Amphistichus_argenteus,4
2,Bechers,BB,Citharichthys_stigmaeus,1
2,Bechers,BB,Embiotoca_jacksoni,1
2,Bechers,BB,Platyrhinoidis_triseriata,1
2,Bechers,BB,Syngnathus_unknown,1
