"","seine_species"
"1","Myliobatis_californica"
"2","Atherinops_affinis"
"3","Amphistichus_argenteus"
"4","Umbrina_roncador"
"5","Seriphus_politus"
"6","Cymatogaster_aggregata"
"7","Menticirrhus_undulatus"
"8","Hyperprosopon_argenteum"
"9","Embiotoca_jacksoni"
"10","Sardinops_sagax"
"11","Engraulis_mordax"
"12","Triakis_semifasciata"
"13","Hyperprosopon_ellipticum"
"14","Leuresthes_tenuis"
"15","Citharichthys_stigmaeus"
"16","Syngnathus_californiensis"
"17","Micrometrus_minimus"
"18","Anisotremus_davidsonii"
"19","Heterostichus_rostratus"
"20","Urobatis_halleri"
"21","Brachygenys_californiensis"
"22","Paralichthys_californicus"
"23","Atractoscion_nobilis"
"24","Halichoeres_semicinctus"
