Common_name,Species,surf_zone,intertidal_surfzone_nearshore_offshore,sandybottom_rockyreef_pelagic,Elasmobranch
Barred_surfperch,Amphistichus_argenteus,Yes,surfzone,sandybottom,No
Sargo,Anisotremus_davidsonii,Yes,surfzone,rockyreef,No
Topsmelt,Atherinops_affinis,Yes,intertidal,sandybottom_rockyreef,No
White_seabass,Atractoscion_nobilis,Yes,surfzone,pelagic,No
Kelp_perch,Brachyistius_frenatus,No,nearshore,rockyreef,No
Black_croaker,Cheilotrema_saturnum,Yes,surfzone,sandybottom,No
Speckled_sand_dab,Citharichthys_stigmaeus,Yes,surfzone,sandybottom,No
Shiner_perch,Cymatogaster_aggregata,Yes,surfzone,sandybottom,No
Black_perch,Embiotoca_jacksoni,Yes,intertidal,rockyreef,No
Northern_anchovy,Engraulis_mordax,Yes,surfzone,sandybottom,No
White_croaker,Genyonemus_lineatus,Yes,surfzone,sandybottom,No
Opaleye,Girella_nigricans,Yes,intertidal,rockyreef,No
California_butterfly_ray,Gymnura_marmorata,Yes,surfzone,sandybottom,Yes
Giant_kelpfish,Heterostichus_rostratus,Yes,intertidal,rockyreef,No
Walleye_surfperch_,Hyperprosopon_argenteum,Yes,intertidal,sandybottom,No
California_grunion,Leuresthes_tenuis,Yes,intertidal,sandybottom,No
California_corbina,Menticirrhus_undulatus,Yes,surfzone,sandybottom,No
Dwarf_perch,Micrometrus_minimus,Yes,surfzone,sandybottom,No
Striped_mullet,Mugil_cephalus,Yes,surfzone,sandybottom,No
Gray_smoothhound,Mustelus_californicus,Yes,nearshore,sandybottom_rockyreef,No
Bat_ray,Myliobatis_californica,Yes,intertidal,sandybottom,Yes
Kelp_bass,Paralabrax_clathratus,Yes,nearshore,rockyreef,No
Barred_sandbass,Paralabrax_nebulifer,Yes,nearshore,rockyreef,No
California_halibut,Paralichthys_californicus,Yes,surfzone,sandybottom,No
Thornback,Platyrhinoidis_triseriata,Yes,intertidal,sandybottom,Yes
Shovelnose_guitarfish,Pseudobatos_productus,Yes,surfzone,sandybottom,Yes
Pile_perch,Phanerodon_vacca,Yes,intertidal,rockyreef,No
Pacific_sardine,Sardinops_sagax,Yes,surfzone,sandybottom,No
Pacific_barracuda,Scomber_japonicus,Yes,nearshore,pelagic,No
Queenfish,Seriphus_politus,Yes,surfzone,sandybottom,No
Pacific_barracuda,Sphyraena_argentea,Yes,surfzone,pelagic,No
California_needlefish,Strongylura_exilis,Yes,surfzone,sandybottom,No
Pacific_jack_mackerel,Trachurus_symmetricus,Yes,surfzone,pelagic,No
Leopard_shark,Triakis_semifasciata,Yes,surfzone,sandybottom_rockyreef,Yes
