"","Species","Site","e_index","sd_e_index","mean_bruv_count","sd_bruv_count","matching","matching2","eDNA_Presence_tot","nps_Presence_tot","eDNA_detect","BRUV_detect"
"1","Embiotoca jacksoni","Bechers",0.415384152165339,0.415384152165339,1,0,"Both.Detected","Matching",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"2","Embiotoca jacksoni","Ben_Weston",0,0,0,0,"Both.Missed","Matching",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"3","Embiotoca jacksoni","China_Camp",0.221694074653481,0.221694074653481,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"4","Embiotoca jacksoni","Christy",0.0122059785606571,0.0122059785606571,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"5","Embiotoca jacksoni","Coches",0.242649960082382,0.242649960082382,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"6","Embiotoca jacksoni","Cuylers_Harbor",0.221382668331435,0.221382668331435,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"7","Embiotoca jacksoni","Dangermond",1,1,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"8","Embiotoca jacksoni","Emerald_Bay",0,0,0,0,"Both.Missed","Matching",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"9","Embiotoca jacksoni","Ford_Pt",0.96108215085078,0.96108215085078,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"10","Embiotoca jacksoni","Forney",0.474484047558677,0.474484047558677,3,0,"Both.Detected","Matching",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"11","Embiotoca jacksoni","Little_Harbor",0.362487586431543,0.362487586431543,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"12","Embiotoca jacksoni","R_Beach",0.632491094890088,0.632491094890088,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"13","Embiotoca jacksoni","Sandy_Point",0.0184025240703889,0.0184025240703889,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"14","Embiotoca jacksoni","Santa_Claus",0.367535398078943,0.367535398078943,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"15","Embiotoca jacksoni","Santa_Monica",0,0,0,0,"Both.Missed","Matching",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"16","Embiotoca jacksoni","Soledad",0.80232552859963,0.80232552859963,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"17","Embiotoca jacksoni","Southeast_Anchorage",0,0,0,0,"Both.Missed","Matching",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"18","Embiotoca jacksoni","Water_Canyon",0.425783351574426,0.425783351574426,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,4,"eDNA.Detected","BRUV.Detected"
"19","Micrometrus minimus","Bechers",0.217397073030851,0.217397073030851,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"20","Micrometrus minimus","Ben_Weston",0,0,0,0,"Both.Missed","Matching",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"21","Micrometrus minimus","China_Camp",0.011158917568242,0.011158917568242,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"22","Micrometrus minimus","Christy",0.251328762913761,0.251328762913761,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"23","Micrometrus minimus","Coches",0,0,0,0,"Both.Missed","Matching",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"24","Micrometrus minimus","Cuylers_Harbor",0.132360283376824,0.132360283376824,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"25","Micrometrus minimus","Dangermond",0.249930569100356,0.249930569100356,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"26","Micrometrus minimus","Emerald_Bay",0,0,0,0,"Both.Missed","Matching",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"27","Micrometrus minimus","Ford_Pt",1,1,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"28","Micrometrus minimus","Forney",0.239846385365767,0.239846385365767,2,0,"Both.Detected","Matching",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"29","Micrometrus minimus","Little_Harbor",0.257881621516485,0.257881621516485,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"30","Micrometrus minimus","R_Beach",0.0858166863554456,0.0858166863554456,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"31","Micrometrus minimus","Sandy_Point",0.9231496413245,0.9231496413245,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"32","Micrometrus minimus","Santa_Claus",0,0,0,0,"Both.Missed","Matching",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"33","Micrometrus minimus","Santa_Monica",0,0,0,0,"Both.Missed","Matching",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"34","Micrometrus minimus","Soledad",0.257325893423851,0.257325893423851,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"35","Micrometrus minimus","Southeast_Anchorage",0,0,0,0,"Both.Missed","Matching",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"36","Micrometrus minimus","Water_Canyon",0.0209846546109263,0.0209846546109263,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,2,"eDNA.Detected","BRUV.Detected"
"37","Menticirrhus undulatus","Bechers",0.899857689565595,0.899857689565595,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",4.09130480378813,2,"eDNA.Detected","BRUV.Detected"
"38","Menticirrhus undulatus","Ben_Weston",0.159365701779368,0.159365701779368,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",4.09130480378813,2,"eDNA.Detected","BRUV.Detected"
"39","Menticirrhus undulatus","China_Camp",0,0,0,0,"Both.Missed","Matching",4.09130480378813,2,"eDNA.Detected","BRUV.Detected"
"40","Menticirrhus undulatus","Christy",0.317642464729838,0.317642464729838,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",4.09130480378813,2,"eDNA.Detected","BRUV.Detected"
"41","Menticirrhus undulatus","Coches",0,0,0,0,"Both.Missed","Matching",4.09130480378813,2,"eDNA.Detected","BRUV.Detected"
