"","Species","Site","e_index","sd_e_index","mean_seine_count","sd_seine_count","matching","matching2","eDNA_Presence_tot","nps_Presence_tot","eDNA_detect","Seine_detect"
"1","Cymatogaster aggregata","Bechers",0.394984565080805,0.394984565080805,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"2","Cymatogaster aggregata","Ben_Weston",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"3","Cymatogaster aggregata","China_Camp",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"4","Cymatogaster aggregata","Christy",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"5","Cymatogaster aggregata","Coches",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"6","Cymatogaster aggregata","Cuylers_Harbor",1,1,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"7","Cymatogaster aggregata","Dangermond",0.00710530547347496,0.00710530547347496,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"8","Cymatogaster aggregata","Emerald_Bay",0.279732272954061,0.279732272954061,2,0,"Both.Detected","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"9","Cymatogaster aggregata","Ford_Pt",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"10","Cymatogaster aggregata","Forney",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"11","Cymatogaster aggregata","Little_Harbor",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"12","Cymatogaster aggregata","R_Beach",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"13","Cymatogaster aggregata","Sandy_Point",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"14","Cymatogaster aggregata","Santa_Claus",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"15","Cymatogaster aggregata","Santa_Monica",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"16","Cymatogaster aggregata","Soledad",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"17","Cymatogaster aggregata","Southeast_Anchorage",0,0,0,0,"Both.Missed","Matching",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"18","Cymatogaster aggregata","Water_Canyon",0.666489112387352,0.666489112387352,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.34831125589569,2,"eDNA.Detected","Seine.Detected"
"19","Embiotoca jacksoni","Bechers",0.415384152165339,0.415384152165339,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"20","Embiotoca jacksoni","Ben_Weston",0,0,0,0,"Both.Missed","Matching",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"21","Embiotoca jacksoni","China_Camp",0.221694074653481,0.221694074653481,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"22","Embiotoca jacksoni","Christy",0.0122059785606571,0.0122059785606571,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"23","Embiotoca jacksoni","Coches",0.242649960082382,0.242649960082382,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"24","Embiotoca jacksoni","Cuylers_Harbor",0.221382668331435,0.221382668331435,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"25","Embiotoca jacksoni","Dangermond",1,1,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"26","Embiotoca jacksoni","Emerald_Bay",0,0,0,0,"Both.Missed","Matching",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"27","Embiotoca jacksoni","Ford_Pt",0.96108215085078,0.96108215085078,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"28","Embiotoca jacksoni","Forney",0.474484047558677,0.474484047558677,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"29","Embiotoca jacksoni","Little_Harbor",0.362487586431543,0.362487586431543,1,0,"Both.Detected","Matching",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"30","Embiotoca jacksoni","R_Beach",0.632491094890088,0.632491094890088,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"31","Embiotoca jacksoni","Sandy_Point",0.0184025240703889,0.0184025240703889,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"32","Embiotoca jacksoni","Santa_Claus",0.367535398078943,0.367535398078943,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"33","Embiotoca jacksoni","Santa_Monica",0,0,1,0,"Seine.Detected.Only","Seine.Detected.Only",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"34","Embiotoca jacksoni","Soledad",0.80232552859963,0.80232552859963,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"35","Embiotoca jacksoni","Southeast_Anchorage",0,0,0,0,"Both.Missed","Matching",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"36","Embiotoca jacksoni","Water_Canyon",0.425783351574426,0.425783351574426,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",6.15790851584777,2,"eDNA.Detected","Seine.Detected"
"37","Micrometrus minimus","Bechers",0.217397073030851,0.217397073030851,2,0,"Both.Detected","Matching",3.64718048858701,19.5,"eDNA.Detected","Seine.Detected"
"38","Micrometrus minimus","Ben_Weston",0,0,0,0,"Both.Missed","Matching",3.64718048858701,19.5,"eDNA.Detected","Seine.Detected"
"39","Micrometrus minimus","China_Camp",0.011158917568242,0.011158917568242,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,19.5,"eDNA.Detected","Seine.Detected"
"40","Micrometrus minimus","Christy",0.251328762913761,0.251328762913761,5.5,2.12132034355964,"Both.Detected","Matching",3.64718048858701,19.5,"eDNA.Detected","Seine.Detected"
"41","Micrometrus minimus","Coches",0,0,0,0,"Both.Missed","Matching",3.64718048858701,19.5,"eDNA.Detected","Seine.Detected"
"42","Micrometrus minimus","Cuylers_Harbor",0.132360283376824,0.132360283376824,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,19.5,"eDNA.Detected","Seine.Detected"
"43","Micrometrus minimus","Dangermond",0.249930569100356,0.249930569100356,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,19.5,"eDNA.Detected","Seine.Detected"
"44","Micrometrus minimus","Emerald_Bay",0,0,0,0,"Both.Missed","Matching",3.64718048858701,19.5,"eDNA.Detected","Seine.Detected"
"45","Micrometrus minimus","Ford_Pt",1,1,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,19.5,"eDNA.Detected","Seine.Detected"
"46","Micrometrus minimus","Forney",0.239846385365767,0.239846385365767,9,8.48528137423857,"Both.Detected","Matching",3.64718048858701,19.5,"eDNA.Detected","Seine.Detected"
"47","Micrometrus minimus","Little_Harbor",0.257881621516485,0.257881621516485,1,0,"Both.Detected","Matching",3.64718048858701,19.5,"eDNA.Detected","Seine.Detected"
"48","Micrometrus minimus","R_Beach",0.0858166863554456,0.0858166863554456,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,19.5,"eDNA.Detected","Seine.Detected"
"49","Micrometrus minimus","Sandy_Point",0.9231496413245,0.9231496413245,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,19.5,"eDNA.Detected","Seine.Detected"
"50","Micrometrus minimus","Santa_Claus",0,0,0,0,"Both.Missed","Matching",3.64718048858701,19.5,"eDNA.Detected","Seine.Detected"
"51","Micrometrus minimus","Santa_Monica",0,0,1,0,"Seine.Detected.Only","Seine.Detected.Only",3.64718048858701,19.5,"eDNA.Detected","Seine.Detected"
"52","Micrometrus minimus","Soledad",0.257325893423851,0.257325893423851,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",3.64718048858701,19.5,"eDNA.Detected","Seine.Detected"
