Seq_number	New_name	Location	Site	Bio_rep	Tech_rep	Sample_date	eDNA_label	Extraction_date	Volume	Sample_Control	Technical_rep	Control_Type	K
ALL.MIU.1.S31	Alligator_1	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Pos	NA
ALL.MIU.2.S110	Alligator_2	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Pos	NA
ALL.MIU.3.S189	Alligator_3	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Pos	NA
BBA.MIU.1.S34	BBA_1	Santa_Rosa_Island	Bechers	A	1	9/19/18	BBA	9/27/18	1100	Sample	BBA_1	NA	3
BBA.MIU.2.S113	BBA_2	Santa_Rosa_Island	Bechers	A	2	9/19/18	BBA	9/27/18	1100	Sample	BBA_2	NA	3
BBA.MIU.3.S192	BBA_3	Santa_Rosa_Island	Bechers	A	3	9/19/18	BBA	9/27/18	1100	Sample	BBA_3	NA	3
BBB.MIU.1.S35	BBB_1	Santa_Rosa_Island	Bechers	B	1	9/19/18	BBB	9/27/18	100	Sample	BBB_1	NA	3
BBB.MIU.2.S114	BBB_2	Santa_Rosa_Island	Bechers	B	2	9/19/18	BBB	9/27/18	100	Sample	BBB_2	NA	3
BBB.MIU.3.S193	BBB_3	Santa_Rosa_Island	Bechers	B	3	9/19/18	BBB	9/27/18	100	Sample	BBB_3	NA	3
BBC.MIU.1.S36	BBC_1	Santa_Rosa_Island	Bechers	C	1	9/19/18	BBC	9/27/18	1200	Sample	BBC_1	NA	3
BBC.MIU.2.S115	BBC_2	Santa_Rosa_Island	Bechers	C	2	9/19/18	BBC	9/27/18	1200	Sample	BBC_2	NA	3
BBC.MIU.3.S194	BBC_3	Santa_Rosa_Island	Bechers	C	3	9/19/18	BBC	9/27/18	1200	Sample	BBC_3	NA	3
BWA.MIU.1.S49	BWA_1	Santa_Catalina_Island	Ben_Weston	A	1	10/20/18	BWA	11/27/18	1250	Sample	BWA_1	NA	3
BWA.MIU.2.S128	BWA_2	Santa_Catalina_Island	Ben_Weston	A	2	10/20/18	BWA	11/27/18	1250	Sample	BWA_2	NA	3
BWA.MIU.3.S207	BWA_3	Santa_Catalina_Island	Ben_Weston	A	3	10/20/18	BWA	11/27/18	1250	Sample	BWA_3	NA	3
BWB.MIU.1.S50	BWB_1	Santa_Catalina_Island	Ben_Weston	B	1	10/20/18	BWB	11/27/18	1100	Sample	BWB_1	NA	3
BWB.MIU.2.S129	BWB_2	Santa_Catalina_Island	Ben_Weston	B	2	10/20/18	BWB	11/27/18	1100	Sample	BWB_2	NA	3
BWB.MIU.3.S208	BWB_3	Santa_Catalina_Island	Ben_Weston	B	3	10/20/18	BWB	11/27/18	1100	Sample	BWB_3	NA	3
BWC.MIU.1.S51	BWC_1	Santa_Catalina_Island	Ben_Weston	C	1	10/20/18	BWC	11/27/18	1100	Sample	BWC_1	NA	3
BWC.MIU.2.S130	BWC_2	Santa_Catalina_Island	Ben_Weston	C	2	10/20/18	BWC	11/27/18	1100	Sample	BWC_2	NA	3
BWC.MIU.3.S209	BWC_3	Santa_Catalina_Island	Ben_Weston	C	3	10/20/18	BWC	11/27/18	1100	Sample	BWC_3	NA	3
CAMEL.MIU.1.S58	Camel_1	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Pos	NA
CAMEL.MIU.2.S137	Camel_2	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Pos	NA
CAMEL.MIU.3.S216	Camel_3	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Pos	NA
CBA.MIU.1.S10	CBA_1	Santa_Cruz_Island	Christy	A	1	8/26/18	CBA	9/27/18	1250	Sample	CBA_1	NA	3
CBA.MIU.2.S89	CBA_2	Santa_Cruz_Island	Christy	A	2	8/26/18	CBA	9/27/18	1250	Sample	CBA_2	NA	3
CBA.MIU.3.S168	CBA_3	Santa_Cruz_Island	Christy	A	3	8/26/18	CBA	9/27/18	1250	Sample	CBA_3	NA	3
CBB.MIU.1.S11	CBB_1	Santa_Cruz_Island	Christy	B	1	8/26/18	CBB	9/27/18	1250	Sample	CBB_1	NA	3
CBB.MIU.2.S90	CBB_2	Santa_Cruz_Island	Christy	B	2	8/26/18	CBB	9/27/18	1250	Sample	CBB_2	NA	3
CBB.MIU.3.S169	CBB_3	Santa_Cruz_Island	Christy	B	3	8/26/18	CBB	9/27/18	1250	Sample	CBB_3	NA	3
CBC.MIU.1.S12	CBC_1	Santa_Cruz_Island	Christy	C	1	8/26/18	CBC	9/27/18	1250	Sample	CBC_1	NA	3
CBC.MIU.2.S91	CBC_2	Santa_Cruz_Island	Christy	C	2	8/26/18	CBC	9/27/18	1250	Sample	CBC_2	NA	3
CBC.MIU.3.S170	CBC_3	Santa_Cruz_Island	Christy	C	3	8/26/18	CBC	9/27/18	1250	Sample	CBC_3	NA	3
CCA.MIU.1.S25	CCA_1	Santa_Rosa_Island	China_Camp	A	1	9/12/18	CCA	9/27/18	1100	Sample	CCA_1	NA	3
CCA.MIU.2.S104	CCA_2	Santa_Rosa_Island	China_Camp	A	2	9/12/18	CCA	9/27/18	1100	Sample	CCA_2	NA	3
CCA.MIU.3.S183	CCA_3	Santa_Rosa_Island	China_Camp	A	3	9/12/18	CCA	9/27/18	1100	Sample	CCA_3	NA	3
CCB.MIU.1.S26	CCB_1	Santa_Rosa_Island	China_Camp	B	1	9/12/18	CCB	9/27/18	1300	Sample	CCB_1	NA	3
CCB.MIU.2.S105	CCB_2	Santa_Rosa_Island	China_Camp	B	2	9/12/18	CCB	9/27/18	1300	Sample	CCB_2	NA	3
CCB.MIU.3.S184	CCB_3	Santa_Rosa_Island	China_Camp	B	3	9/12/18	CCB	9/27/18	1300	Sample	CCB_3	NA	3
CCC.MIU.1.S27	CCC_1	Santa_Rosa_Island	China_Camp	C	1	9/12/18	CCC	9/27/18	1100	Sample	CCC_1	NA	3
CCC.MIU.2.S106	CCC_2	Santa_Rosa_Island	China_Camp	C	2	9/12/18	CCC	9/27/18	1100	Sample	CCC_2	NA	3
CCC.MIU.3.S185	CCC_3	Santa_Rosa_Island	China_Camp	C	3	9/12/18	CCC	9/27/18	1100	Sample	CCC_3	NA	3
CHA.MIU.1.S43	CHA_1	San_Miguel_Island	Cuylers_Harbor	A	1	10/16/18	CHA	11/27/18	1250	Sample	CHA_1	NA	3
CHA.MIU.2.S122	CHA_2	San_Miguel_Island	Cuylers_Harbor	A	2	10/16/18	CHA	11/27/18	1250	Sample	CHA_2	NA	3
CHA.MIU.3.S201	CHA_3	San_Miguel_Island	Cuylers_Harbor	A	3	10/16/18	CHA	11/27/18	1250	Sample	CHA_3	NA	3
CHB.MIU.1.S44	CHB_1	San_Miguel_Island	Cuylers_Harbor	B	1	10/16/18	CHB	11/27/18	1250	Sample	CHB_1	NA	3
CHB.MIU.2.S123	CHB_2	San_Miguel_Island	Cuylers_Harbor	B	2	10/16/18	CHB	11/27/18	1250	Sample	CHB_2	NA	3
CHB.MIU.3.S202	CHB_3	San_Miguel_Island	Cuylers_Harbor	B	3	10/16/18	CHB	11/27/18	1250	Sample	CHB_3	NA	3
