New_name	Location	Site	Bio_rep	Tech_rep	Sample_date	eDNA_label	Extraction_date	Volume	Sample_Control	Technical_rep	Control_Type	K
BBA_1	Santa_Rosa_Island	Bechers	A	1	9/19/18	BBA	9/27/18	1100	Sample	BBA_1	NA	3
BBA_2	Santa_Rosa_Island	Bechers	A	2	9/19/18	BBA	9/27/18	1100	Sample	BBA_2	NA	3
BBA_3	Santa_Rosa_Island	Bechers	A	3	9/19/18	BBA	9/27/18	1100	Sample	BBA_3	NA	3
BBB_1	Santa_Rosa_Island	Bechers	B	1	9/19/18	BBB	9/27/18	100	Sample	BBB_1	NA	3
BBB_2	Santa_Rosa_Island	Bechers	B	2	9/19/18	BBB	9/27/18	100	Sample	BBB_2	NA	3
BBB_3	Santa_Rosa_Island	Bechers	B	3	9/19/18	BBB	9/27/18	100	Sample	BBB_3	NA	3
BBC_1	Santa_Rosa_Island	Bechers	C	1	9/19/18	BBC	9/27/18	1200	Sample	BBC_1	NA	3
BBC_2	Santa_Rosa_Island	Bechers	C	2	9/19/18	BBC	9/27/18	1200	Sample	BBC_2	NA	3
BBC_3	Santa_Rosa_Island	Bechers	C	3	9/19/18	BBC	9/27/18	1200	Sample	BBC_3	NA	3
BWA_1	Santa_Catalina_Island	Ben_Weston	A	1	10/20/18	BWA	11/27/18	1250	Sample	BWA_1	NA	3
BWA_2	Santa_Catalina_Island	Ben_Weston	A	2	10/20/18	BWA	11/27/18	1250	Sample	BWA_2	NA	3
BWA_3	Santa_Catalina_Island	Ben_Weston	A	3	10/20/18	BWA	11/27/18	1250	Sample	BWA_3	NA	3
BWB_1	Santa_Catalina_Island	Ben_Weston	B	1	10/20/18	BWB	11/27/18	1100	Sample	BWB_1	NA	3
BWB_2	Santa_Catalina_Island	Ben_Weston	B	2	10/20/18	BWB	11/27/18	1100	Sample	BWB_2	NA	3
BWB_3	Santa_Catalina_Island	Ben_Weston	B	3	10/20/18	BWB	11/27/18	1100	Sample	BWB_3	NA	3
