New_name,Location,Site,Site_Code,Bio_rep,Tech_rep,Sample_date,eDNA_label,Extraction_date,Volume,Sample_Control,Technical_rep,Control_Type,K,in_visuals,temp_2018,avg_temp_total
BBA_1,Santa_Rosa_Island,Bechers,BB,A,1,9_19_2018,BBA,9_27_2018,1100,Sample,BBA_1,NA,3,keep,16.68166629,15.3530389
BBA_2,Santa_Rosa_Island,Bechers,BB,A,2,9_19_2018,BBA,9_27_2018,1100,Sample,BBA_2,NA,3,keep,16.68166629,15.3530389
BBA_3,Santa_Rosa_Island,Bechers,BB,A,3,9_19_2018,BBA,9_27_2018,1100,Sample,BBA_3,NA,3,keep,16.68166629,15.3530389
BBB_1,Santa_Rosa_Island,Bechers,BB,B,1,9_19_2018,BBB,9_27_2018,100,Sample,BBB_1,NA,3,keep,16.68166629,15.3530389
BBB_2,Santa_Rosa_Island,Bechers,BB,B,2,9_19_2018,BBB,9_27_2018,100,Sample,BBB_2,NA,3,keep,16.68166629,15.3530389
BBB_3,Santa_Rosa_Island,Bechers,BB,B,3,9_19_2018,BBB,9_27_2018,100,Sample,BBB_3,NA,3,keep,16.68166629,15.3530389
BBC_1,Santa_Rosa_Island,Bechers,BB,C,1,9_19_2018,BBC,9_27_2018,1200,Sample,BBC_1,NA,3,keep,16.68166629,15.3530389
BBC_2,Santa_Rosa_Island,Bechers,BB,C,2,9_19_2018,BBC,9_27_2018,1200,Sample,BBC_2,NA,3,keep,16.68166629,15.3530389
BBC_3,Santa_Rosa_Island,Bechers,BB,C,3,9_19_2018,BBC,9_27_2018,1200,Sample,BBC_3,NA,3,keep,16.68166629,15.35303887
BWA_1,Santa_Catalina_Island,Ben_Weston,BW,A,1,10_20_2018,BWA,11_27_2018,1250,Sample,BWA_1,NA,3,keep,19.90749956,18.67308782
BWA_2,Santa_Catalina_Island,Ben_Weston,BW,A,2,10_20_2018,BWA,11_27_2018,1250,Sample,BWA_2,NA,3,keep,19.90749956,18.67308782
BWA_3,Santa_Catalina_Island,Ben_Weston,BW,A,3,10_20_2018,BWA,11_27_2018,1250,Sample,BWA_3,NA,3,keep,19.90749956,18.67308782
BWB_1,Santa_Catalina_Island,Ben_Weston,BW,B,1,10_20_2018,BWB,11_27_2018,1100,Sample,BWB_1,NA,3,keep,19.90749956,18.67308782
BWB_2,Santa_Catalina_Island,Ben_Weston,BW,B,2,10_20_2018,BWB,11_27_2018,1100,Sample,BWB_2,NA,3,keep,19.90749956,18.67308782
BWB_3,Santa_Catalina_Island,Ben_Weston,BW,B,3,10_20_2018,BWB,11_27_2018,1100,Sample,BWB_3,NA,3,keep,19.90749956,18.67308782
BWC_1,Santa_Catalina_Island,Ben_Weston,BW,C,1,10_20_2018,BWC,11_27_2018,1100,Sample,BWC_1,NA,3,keep,19.90749956,18.67308782
BWC_2,Santa_Catalina_Island,Ben_Weston,BW,C,2,10_20_2018,BWC,11_27_2018,1100,Sample,BWC_2,NA,3,keep,19.90749956,18.67308782
BWC_3,Santa_Catalina_Island,Ben_Weston,BW,C,3,10_20_2018,BWC,11_27_2018,1100,Sample,BWC_3,NA,3,keep,19.90749956,18.67308782
CBA_1,Santa_Cruz_Island,Christy,CB,A,1,8_26_2018,CBA,9_27_2018,1250,Sample,CBA_1,NA,3,keep,16.61499963,16.16470552
