Geog_sort,Location,Site,Site_Code,Month,Day,Year,Investigator,Time_Start,Time_End,Tide_Height,Tide_Type,Time_high_tide,Time_low_tide,Collection_Method,Seine_Size_feet,Shore_distance_meters,Haul_number,Sample_number,Entered_as,Subclass,Family,Species,Common_Name,SP_Code,Count,Total_Length_mm,Standard_Length_mm,Wet_Body_Weight_g,Sex,Gut_Collected,Isotope_Sample,Notes
8,Santa_Rosa_Island,Southeast_Anchorage,SA,9,13,2018,NA,NA,NA,high,slack,1250,NA,Seine,50,NA,4,NA,NA,NA,NA,NA,NA,NONE,0,NA,NA,NA,ND,NA,NA,no_fish
NA,Santa_Barbara,Santa_Claus,SC,10,12,2018,Madden_Puerzer,1030,1115,high,NA,1200,NA,Seine,50,25,4,NA,Bat_ray,Elasmobranchii,Myliobatidae,Myliobatis_californica,Bat_ray,MYCA,1,NA,200,NA,ND,No,No,NA
15,Santa_Catalina_Island,Little_Harbor,LH,10,19,2018,NA,1645,1730,high,rising,1900,NA,Seine,50,20,4,NA,Topsmelt,Actinopterygii,Atherinopsidae,Atherinops_affinis,Topsmelt,ATAF,1,NA,NA,NA,ND,No,No,none_measured
15,Santa_Catalina_Island,Little_Harbor,LH,10,19,2018,NA,1645,1730,high,rising,1900,NA,Seine,50,20,4,NA,Topsmelt,Actinopterygii,Atherinopsidae,Atherinops_affinis,Topsmelt,ATAF,1,NA,NA,NA,ND,No,No,none_measured
15,Santa_Catalina_Island,Little_Harbor,LH,10,19,2018,NA,1645,1730,high,rising,1900,NA,Seine,50,20,4,NA,Topsmelt,Actinopterygii,Atherinopsidae,Atherinops_affinis,Topsmelt,ATAF,1,NA,NA,NA,ND,No,No,none_measured
15,Santa_Catalina_Island,Little_Harbor,LH,10,19,2018,NA,1645,1730,high,rising,1900,NA,Seine,50,20,4,NA,Topsmelt,Actinopterygii,Atherinopsidae,Atherinops_affinis,Topsmelt,ATAF,1,NA,NA,NA,ND,No,No,none_measured
15,Santa_Catalina_Island,Little_Harbor,LH,10,19,2018,NA,1645,1730,high,rising,1900,NA,Seine,50,20,4,NA,Topsmelt,Actinopterygii,Atherinopsidae,Atherinops_affinis,Topsmelt,ATAF,1,NA,NA,NA,ND,No,No,none_measured
15,Santa_Catalina_Island,Little_Harbor,LH,10,19,2018,NA,1645,1730,high,rising,1900,NA,Seine,50,20,4,NA,Topsmelt,Actinopterygii,Atherinopsidae,Atherinops_affinis,Topsmelt,ATAF,1,NA,NA,NA,ND,No,No,none_measured
15,Santa_Catalina_Island,Little_Harbor,LH,10,19,2018,NA,1645,1730,high,rising,1900,NA,Seine,50,20,4,NA,Topsmelt,Actinopterygii,Atherinopsidae,Atherinops_affinis,Topsmelt,ATAF,1,NA,NA,NA,ND,No,No,none_measured
15,Santa_Catalina_Island,Little_Harbor,LH,10,19,2018,NA,1645,1730,high,rising,1900,NA,Seine,50,20,4,NA,Topsmelt,Actinopterygii,Atherinopsidae,Atherinops_affinis,Topsmelt,ATAF,1,NA,NA,NA,ND,No,No,none_measured
15,Santa_Catalina_Island,Little_Harbor,LH,10,19,2018,NA,1645,1730,high,rising,1900,NA,Seine,50,20,4,NA,Topsmelt,Actinopterygii,Atherinopsidae,Atherinops_affinis,Topsmelt,ATAF,1,NA,NA,NA,ND,No,No,none_measured
15,Santa_Catalina_Island,Little_Harbor,LH,10,19,2018,NA,1645,1730,high,rising,1900,NA,Seine,50,20,4,NA,Topsmelt,Actinopterygii,Atherinopsidae,Atherinops_affinis,Topsmelt,ATAF,1,NA,NA,NA,ND,No,No,none_measured
15,Santa_Catalina_Island,Little_Harbor,LH,10,19,2018,NA,1645,1730,high,rising,1900,NA,Seine,50,20,4,NA,Topsmelt,Actinopterygii,Atherinopsidae,Atherinops_affinis,Topsmelt,ATAF,1,NA,NA,NA,ND,No,No,none_measured
15,Santa_Catalina_Island,Little_Harbor,LH,10,19,2018,NA,1645,1730,high,rising,1900,NA,Seine,50,20,4,NA,Topsmelt,Actinopterygii,Atherinopsidae,Atherinops_affinis,Topsmelt,ATAF,1,NA,NA,NA,ND,No,No,none_measured
