"","Site","Species","MaxN_"
"1","Cuylers_Harbor","Atherinops_affinis",15
"2","Cuylers_Harbor","Citharichthys_stigmaeus",22
"3","Cuylers_Harbor","Triakis_semifasciata",2
"4","Cuylers_Harbor","Atherinops_affinis",15
"5","Cuylers_Harbor","Citharichthys_stigmaeus",22
"6","Cuylers_Harbor","Paralichthys_californicus",1
"7","Cuylers_Harbor","Atherinops_affinis",15
"8","Cuylers_Harbor","Citharichthys_stigmaeus",22
"9","Sandy_Point","Amphistichus_argenteus",18
"10","Sandy_Point","Atherinops_affinis",2
"11","Sandy_Point","Myliobatis_californica",2
"12","Sandy_Point","Amphistichus_argenteus",18
"13","Sandy_Point","Citharichthys_stigmaeus",5
"14","Sandy_Point","Triakis_semifasciata",1
"15","Sandy_Point","Amphistichus_argenteus",18
"16","China_Camp","Citharichthys_stigmaeus",2
"17","China_Camp","Amphistichus_argenteus",14
"18","Ford_Pt","Amphistichus_argenteus",16
"19","Ford_Pt","Atherinops_affinis",10
"20","Ford_Pt","Myliobatis_californica",1
"21","Ford_Pt","Amphistichus_argenteus",16
"22","Ford_Pt","Atherinops_affinis",10
"23","Ford_Pt","Citharichthys_stigmaeus",4
"24","Ford_Pt","Amphistichus_argenteus",16
"25","Ford_Pt","Atherinops_affinis",10
"26","Bechers","Amphistichus_argenteus",9
"27","Bechers","Atherinops_affinis",5
"28","Bechers","Citharichthys_stigmaeus",5
"29","Bechers","Triakis_semifasciata",4
"30","Bechers","Amphistichus_argenteus",9
"31","Bechers","Citharichthys_stigmaeus",5
"32","Bechers","Embiotoca_jacksoni",1
"33","Bechers","Platyrhinoidis_triseriata",2
"34","Bechers","Triakis_semifasciata",4
"35","Bechers","Atherinops_affinis",5
"36","Water_Canyon","Amphistichus_argenteus",29
"37","Water_Canyon","Atherinops_affinis",4
"38","Water_Canyon","Myliobatis_californica",9
"39","Water_Canyon","Triakis_semifasciata",3
"40","Water_Canyon","Amphistichus_argenteus",29
"41","Water_Canyon","Galeorhinus_galeus",1
"42","Water_Canyon","Myliobatis_californica",9
"43","Water_Canyon","Amphistichus_argenteus",29
"44","Water_Canyon","Citharichthys_stigmaeus",1
"45","Water_Canyon","Myliobatis_californica",9
"46","Southeast_Anchorage","Atherinops_affinis",72
"47","Southeast_Anchorage","Citharichthys_stigmaeus",15
"48","Southeast_Anchorage","Myliobatis_californica",2
"49","Southeast_Anchorage","Atherinops_affinis",72
"50","Southeast_Anchorage","Triakis_semifasciata",2
"51","Southeast_Anchorage","Atherinops_affinis",72
"52","Southeast_Anchorage","Syngnathus_californiensis",1
"53","Forney","Citharichthys_stigmaeus",1
"54","Forney","Myliobatis_californica",5
"55","Forney","Sphyraena_argentea",110
"56","Forney","Triakis_semifasciata",5
"57","Forney","Embiotoca_jacksoni",3
"58","Forney","Girella_nigricans",2
"59","Forney","Heterostichus_rostratus",1
"60","Forney","Micrometrus_minimus",2
"61","Forney","Myliobatis_californica",5
"62","Forney","Oxyjulis_californica",1
"63","Forney","Sphyraena_argentea",110
"64","Forney","Triakis_semifasciata",5
"65","Christy","Atherinops_affinis",173
"66","Christy","Citharichthys_stigmaeus",7
"67","Christy","Myliobatis_californica",11
"68","Christy","Paralabrax_clathratus",1
"69","Christy","Triakis_semifasciata",3
"70","Christy","Citharichthys_stigmaeus",7
"71","Christy","Myliobatis_californica",11
"72","Christy","Triakis_semifasciata",3
"73","Christy","Atherinops_affinis",173
"74","Christy","Myliobatis_californica",11
"75","Christy","Sphyraena_argentea",2
"76","Coches","Citharichthys_stigmaeus",26
"77","Coches","Myliobatis_californica",6
"78","Coches","Paralabrax_clathratus",2
"79","Coches","Platyrhinoidis_triseriata",2
"80","Coches","Triakis_semifasciata",4
"81","Coches","Citharichthys_stigmaeus",26
"82","Coches","Engraulis_mordax",18
"83","Coches","Triakis_semifasciata",4
"84","Coches","Citharichthys_stigmaeus",26
"85","Coches","Engraulis_mordax",18
"86","Little_Harbor","Anisotremus_davidsonii",8
"87","Little_Harbor","Atherinops_affinis",122
"88","Little_Harbor","Girella_nigricans",8
"89","Little_Harbor","Xenistius_californiensis",32
"90","Little_Harbor","Halichoeres_semicinctus",13
"91","Little_Harbor","Hyperprosopon_argenteum",1
"92","Little_Harbor","Myliobatis_californica",5
"93","Little_Harbor","Pseudobatos_productus",3
"94","Little_Harbor","Trachurus_symmetricus",6
"95","Little_Harbor","Triakis_semifasciata",6
"96","Little_Harbor","Umbrina_roncador",14
"97","Little_Harbor","Urolophus_halleri",4
"98","Little_Harbor","Atherinops_affinis",122
"99","Little_Harbor","Halichoeres_semicinctus",13
"100","Little_Harbor","Medialuna_californiensis",1
"101","Little_Harbor","Paralabrax_clathratus",9
