"","BRUV_Number","Site","Species","MaxN_"
"1",1,"Bechers","Amphistichus_argenteus",5
"2",1,"Bechers","Atherinops_affinis",1
"3",1,"Bechers","Citharichthys_stigmaeus",2
"4",1,"Bechers","Triakis_semifasciata",1
"5",2,"Bechers","Amphistichus_argenteus",4
"6",2,"Bechers","Citharichthys_stigmaeus",1
"7",2,"Bechers","Embiotoca_jacksoni",1
"8",2,"Bechers","Platyrhinoidis_triseriata",1
"9",2,"Bechers","Triakis_semifasciata",2
"10",3,"Bechers","Atherinops_affinis",4
"11",3,"Bechers","Citharichthys_stigmaeus",2
"12",3,"Bechers","Platyrhinoidis_triseriata",1
"13",3,"Bechers","Triakis_semifasciata",1
"14",1,"Ben_Weston","Amphistichus_argenteus",2
"15",1,"Ben_Weston","Anisotremus_davidsonii",5
"16",1,"Ben_Weston","Hyperprosopon_argenteum",49
"17",1,"Ben_Weston","Myliobatis_californica",1
"18",1,"Ben_Weston","Pseudobatos_productus",1
"19",1,"Ben_Weston","Triakis_semifasciata",1
"20",1,"Ben_Weston","Urobatis_halleri",4
"21",2,"Ben_Weston","Anisotremus_davidsonii",1
"22",2,"Ben_Weston","Atherinops_affinis",5
"23",2,"Ben_Weston","Myliobatis_californica",1
"24",2,"Ben_Weston","Paralabrax_clathratus",1
"25",2,"Ben_Weston","Pseudobatos_productus",1
"26",2,"Ben_Weston","Triakis_semifasciata",1
"27",2,"Ben_Weston","Umbrina_roncador",1
"28",2,"Ben_Weston","Urobatis_halleri",1
"29",3,"Ben_Weston","Atherinops_affinis",12
"30",3,"Ben_Weston","Triakis_semifasciata",1
"31",3,"Ben_Weston","Umbrina_roncador",4
"32",3,"Ben_Weston","Urobatis_halleri",1
"33",1,"China_Camp","Citharichthys_stigmaeus",1
"34",2,"China_Camp","Amphistichus_argenteus",7
"35",2,"China_Camp","Citharichthys_stigmaeus",1
"36",3,"China_Camp","Amphistichus_argenteus",7
"37",1,"Christy","Atherinops_affinis",10
"38",1,"Christy","Citharichthys_stigmaeus",1
"39",1,"Christy","Myliobatis_californica",2
"40",1,"Christy","Paralabrax_clathratus",1
"41",1,"Christy","Triakis_semifasciata",2
"42",2,"Christy","Citharichthys_stigmaeus",6
"43",2,"Christy","Myliobatis_californica",3
"44",2,"Christy","Triakis_semifasciata",1
"45",3,"Christy","Atherinops_affinis",163
"46",3,"Christy","Myliobatis_californica",6
"47",3,"Christy","Sphyraena_argentea",2
"48",1,"Coches","Citharichthys_stigmaeus",7
"49",1,"Coches","Myliobatis_californica",3
"50",1,"Coches","Paralabrax_clathratus",2
"51",1,"Coches","Platyrhinoidis_triseriata",1
"52",1,"Coches","Triakis_semifasciata",2
"53",2,"Coches","Citharichthys_stigmaeus",13
"54",2,"Coches","Engraulis_mordax",15
"55",2,"Coches","Triakis_semifasciata",1
"56",3,"Coches","Citharichthys_stigmaeus",6
"57",3,"Coches","Engraulis_mordax",3
"58",3,"Coches","Myliobatis_californica",3
"59",3,"Coches","Platyrhinoidis_triseriata",1
"60",3,"Coches","Triakis_semifasciata",1
"61",1,"Cuylers_Harbor","Atherinops_affinis",3
"62",1,"Cuylers_Harbor","Citharichthys_stigmaeus",10
"63",1,"Cuylers_Harbor","Triakis_semifasciata",1
"64",2,"Cuylers_Harbor","Atherinops_affinis",4
"65",2,"Cuylers_Harbor","Citharichthys_stigmaeus",9
"66",2,"Cuylers_Harbor","Paralichthys_californicus",1
"67",2,"Cuylers_Harbor","Triakis_semifasciata",1
"68",3,"Cuylers_Harbor","Atherinops_affinis",8
"69",3,"Cuylers_Harbor","Citharichthys_stigmaeus",3
"70",1,"Dangermond","Amphistichus_argenteus",6
"71",1,"Dangermond","Atherinops_affinis",4
"72",1,"Dangermond","Triakis_semifasciata",1
"73",2,"Dangermond","Amphistichus_argenteus",10
"74",2,"Dangermond","Atherinops_affinis",4
"75",2,"Dangermond","Pseudobatos_productus",1
"76",2,"Dangermond","Triakis_semifasciata",1
"77",3,"Dangermond","Amphistichus_argenteus",6
"78",3,"Dangermond","Pseudobatos_productus",1
"79",1,"Emerald_Bay","Halichoeres_semicinctus",4
"80",1,"Emerald_Bay","Paralabrax_clathratus",2
"81",1,"Emerald_Bay","Triakis_semifasciata",1
"82",1,"Emerald_Bay","Urobatis_halleri",3
"83",2,"Emerald_Bay","Girella_nigricans",1
"84",2,"Emerald_Bay","Paralichthys_californicus",1
"85",2,"Emerald_Bay","Pseudobatos_productus",1
"86",2,"Emerald_Bay","Urobatis_halleri",3
"87",3,"Emerald_Bay","Girella_nigricans",7
"88",3,"Emerald_Bay","Paralabrax_clathratus",7
"89",3,"Emerald_Bay","Paralabrax_nebulifer",1
"90",3,"Emerald_Bay","Pseudobatos_productus",1
"91",3,"Emerald_Bay","Urobatis_halleri",1
"92",1,"Ford_Pt","Amphistichus_argenteus",8
"93",1,"Ford_Pt","Atherinops_affinis",2
"94",1,"Ford_Pt","Myliobatis_californica",1
"95",2,"Ford_Pt","Amphistichus_argenteus",6
"96",2,"Ford_Pt","Atherinops_affinis",5
"97",2,"Ford_Pt","Citharichthys_stigmaeus",2
"98",3,"Ford_Pt","Amphistichus_argenteus",2
"99",3,"Ford_Pt","Atherinops_affinis",3
"100",3,"Ford_Pt","Citharichthys_stigmaeus",2
"101",1,"Forney","Citharichthys_stigmaeus",1
"102",1,"Forney","Myliobatis_californica",2
"103",1,"Forney","Sphyraena_argentea",99
"104",1,"Forney","Triakis_semifasciata",1
"105",2,"Forney","Embiotoca_jacksoni",3
"106",2,"Forney","Girella_nigricans",2
"107",2,"Forney","Halichoeres_californica",1
"108",2,"Forney","Heterostichus_rostratus",1
"109",2,"Forney","Micrometrus_minimus",2
"110",2,"Forney","Myliobatis_californica",1
"111",2,"Forney","Sphyraena_argentea",11
"112",2,"Forney","Triakis_semifasciata",3
"113",3,"Forney","Myliobatis_californica",2
"114",3,"Forney","Triakis_semifasciata",1
"115",1,"Little_Harbor","Anisotremus_davidsonii",3
"116",1,"Little_Harbor","Atherinops_affinis",120
"117",1,"Little_Harbor","Brachygenys_californiensis",32
"118",1,"Little_Harbor","Girella_nigricans",1
"119",1,"Little_Harbor","Halichoeres_semicinctus",2
"120",1,"Little_Harbor","Hyperprosopon_argenteum",1
"121",1,"Little_Harbor","Myliobatis_californica",2
"122",1,"Little_Harbor","Pseudobatos_productus",2
"123",1,"Little_Harbor","Trachurus_symmetricus",3
"124",1,"Little_Harbor","Triakis_semifasciata",2
"125",1,"Little_Harbor","Umbrina_roncador",2
"126",1,"Little_Harbor","Urobatis_halleri",2
"127",2,"Little_Harbor","Anisotremus_davidsonii",3
"128",2,"Little_Harbor","Atherinops_affinis",1
"129",2,"Little_Harbor","Bodianus_pulcher",1
"130",2,"Little_Harbor","Halichoeres_semicinctus",6
"131",2,"Little_Harbor","Medialuna_californiensis",1
"132",2,"Little_Harbor","Myliobatis_californica",2
"133",2,"Little_Harbor","Paralabrax_clathratus",5
"134",2,"Little_Harbor","Trachurus_symmetricus",3
"135",2,"Little_Harbor","Triakis_semifasciata",2
"136",2,"Little_Harbor","Umbrina_roncador",7
"137",2,"Little_Harbor","Urobatis_halleri",1
"138",3,"Little_Harbor","Anisotremus_davidsonii",2
"139",3,"Little_Harbor","Atherinops_affinis",1
"140",3,"Little_Harbor","Bodianus_pulcher",1
"141",3,"Little_Harbor","Girella_nigricans",7
"142",3,"Little_Harbor","Gymnothorax_mordax",2
"143",3,"Little_Harbor","Halichoeres_semicinctus",5
"144",3,"Little_Harbor","Myliobatis_californica",1
"145",3,"Little_Harbor","Paralabrax_clathratus",4
"146",3,"Little_Harbor","Pseudobatos_productus",1
