"","Species","Site","e_index","sd_e_index","mean_bruv_count","sd_bruv_count","matching","matching2","eDNA_Presence_tot","nps_Presence_tot","eDNA_detect","BRUV_detect"
"1","Amphistichus argenteus","Bechers",0,0,4.5,0.707106781186548,"BRUV.Detected.Only","BRUV.Detected.Only",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"2","Amphistichus argenteus","Ben_Weston",0,0,2,0,"BRUV.Detected.Only","BRUV.Detected.Only",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"3","Amphistichus argenteus","China_Camp",0,0,7,0,"BRUV.Detected.Only","BRUV.Detected.Only",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"4","Amphistichus argenteus","Christy",0,0,0,0,"Both.Missed","Matching",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"5","Amphistichus argenteus","Coches",0,0,0,0,"Both.Missed","Matching",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"6","Amphistichus argenteus","Cuylers_Harbor",0,0,0,0,"Both.Missed","Matching",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"7","Amphistichus argenteus","Dangermond",0.322084127113881,0.322084127113881,7.33333333333333,2.3094010767585,"Both.Detected","Matching",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"8","Amphistichus argenteus","Emerald_Bay",0,0,0,0,"Both.Missed","Matching",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"9","Amphistichus argenteus","Ford_Pt",0,0,5.33333333333333,3.05505046330389,"BRUV.Detected.Only","BRUV.Detected.Only",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"10","Amphistichus argenteus","Forney",0,0,0,0,"Both.Missed","Matching",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"11","Amphistichus argenteus","Little_Harbor",0,0,0,0,"Both.Missed","Matching",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"12","Amphistichus argenteus","R_Beach",1,1,1,0,"Both.Detected","Matching",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"13","Amphistichus argenteus","Sandy_Point",0,0,6,3.60555127546399,"BRUV.Detected.Only","BRUV.Detected.Only",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"14","Amphistichus argenteus","Santa_Claus",0,0,0,0,"Both.Missed","Matching",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"15","Amphistichus argenteus","Santa_Monica",0,0,3,0,"BRUV.Detected.Only","BRUV.Detected.Only",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"16","Amphistichus argenteus","Soledad",0,0,0,0,"Both.Missed","Matching",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"17","Amphistichus argenteus","Southeast_Anchorage",0,0,0,0,"Both.Missed","Matching",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"18","Amphistichus argenteus","Water_Canyon",0,0,9.66666666666667,6.80685928555405,"BRUV.Detected.Only","BRUV.Detected.Only",1.32208412711388,45.8333333333333,"eDNA.Detected","BRUV.Detected"
"19","Amphistichus koelzi","Bechers",0,0,0,0,"Both.Missed","Matching",2.94033682340254,0,"eDNA.Detected","missing"
"20","Amphistichus koelzi","Ben_Weston",0,0,0,0,"Both.Missed","Matching",2.94033682340254,0,"eDNA.Detected","missing"
"21","Amphistichus koelzi","China_Camp",0,0,0,0,"Both.Missed","Matching",2.94033682340254,0,"eDNA.Detected","missing"
"22","Amphistichus koelzi","Christy",0,0,0,0,"Both.Missed","Matching",2.94033682340254,0,"eDNA.Detected","missing"
"23","Amphistichus koelzi","Coches",0,0,0,0,"Both.Missed","Matching",2.94033682340254,0,"eDNA.Detected","missing"
"24","Amphistichus koelzi","Cuylers_Harbor",0.868230948298683,0.868230948298683,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.94033682340254,0,"eDNA.Detected","missing"
"25","Amphistichus koelzi","Dangermond",1,1,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.94033682340254,0,"eDNA.Detected","missing"
"26","Amphistichus koelzi","Emerald_Bay",0,0,0,0,"Both.Missed","Matching",2.94033682340254,0,"eDNA.Detected","missing"
"27","Amphistichus koelzi","Ford_Pt",0,0,0,0,"Both.Missed","Matching",2.94033682340254,0,"eDNA.Detected","missing"
"28","Amphistichus koelzi","Forney",0.210885135312883,0.210885135312883,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.94033682340254,0,"eDNA.Detected","missing"
"29","Amphistichus koelzi","Little_Harbor",0,0,0,0,"Both.Missed","Matching",2.94033682340254,0,"eDNA.Detected","missing"
"30","Amphistichus koelzi","R_Beach",0.861220739790979,0.861220739790979,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.94033682340254,0,"eDNA.Detected","missing"
"31","Amphistichus koelzi","Sandy_Point",0,0,0,0,"Both.Missed","Matching",2.94033682340254,0,"eDNA.Detected","missing"
"32","Amphistichus koelzi","Santa_Claus",0,0,0,0,"Both.Missed","Matching",2.94033682340254,0,"eDNA.Detected","missing"
"33","Amphistichus koelzi","Santa_Monica",0,0,0,0,"Both.Missed","Matching",2.94033682340254,0,"eDNA.Detected","missing"
"34","Amphistichus koelzi","Soledad",0,0,0,0,"Both.Missed","Matching",2.94033682340254,0,"eDNA.Detected","missing"
"35","Amphistichus koelzi","Southeast_Anchorage",0,0,0,0,"Both.Missed","Matching",2.94033682340254,0,"eDNA.Detected","missing"
"36","Amphistichus koelzi","Water_Canyon",0,0,0,0,"Both.Missed","Matching",2.94033682340254,0,"eDNA.Detected","missing"
"37","Cymatogaster aggregata","Bechers",0.390899968852957,0.390899968852957,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.815728434398,0,"eDNA.Detected","missing"
"38","Cymatogaster aggregata","Ben_Weston",0,0,0,0,"Both.Missed","Matching",2.815728434398,0,"eDNA.Detected","missing"
"39","Cymatogaster aggregata","China_Camp",0.269456700610913,0.269456700610913,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.815728434398,0,"eDNA.Detected","missing"
"40","Cymatogaster aggregata","Christy",0.0691139077923554,0.0691139077923554,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.815728434398,0,"eDNA.Detected","missing"
"41","Cymatogaster aggregata","Coches",0.123358741141925,0.123358741141925,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.815728434398,0,"eDNA.Detected","missing"
"42","Cymatogaster aggregata","Cuylers_Harbor",1,1,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.815728434398,0,"eDNA.Detected","missing"
"43","Cymatogaster aggregata","Dangermond",0.00553586166590898,0.00553586166590898,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.815728434398,0,"eDNA.Detected","missing"
"44","Cymatogaster aggregata","Emerald_Bay",0.228474501314649,0.228474501314649,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.815728434398,0,"eDNA.Detected","missing"
"45","Cymatogaster aggregata","Ford_Pt",0,0,0,0,"Both.Missed","Matching",2.815728434398,0,"eDNA.Detected","missing"
"46","Cymatogaster aggregata","Forney",0,0,0,0,"Both.Missed","Matching",2.815728434398,0,"eDNA.Detected","missing"
"47","Cymatogaster aggregata","Little_Harbor",0,0,0,0,"Both.Missed","Matching",2.815728434398,0,"eDNA.Detected","missing"
"48","Cymatogaster aggregata","R_Beach",0,0,0,0,"Both.Missed","Matching",2.815728434398,0,"eDNA.Detected","missing"
"49","Cymatogaster aggregata","Sandy_Point",0,0,0,0,"Both.Missed","Matching",2.815728434398,0,"eDNA.Detected","missing"
"50","Cymatogaster aggregata","Santa_Claus",0,0,0,0,"Both.Missed","Matching",2.815728434398,0,"eDNA.Detected","missing"
"51","Cymatogaster aggregata","Santa_Monica",0,0,0,0,"Both.Missed","Matching",2.815728434398,0,"eDNA.Detected","missing"
"52","Cymatogaster aggregata","Soledad",0,0,0,0,"Both.Missed","Matching",2.815728434398,0,"eDNA.Detected","missing"
"53","Cymatogaster aggregata","Southeast_Anchorage",0.096122593234684,0.096122593234684,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.815728434398,0,"eDNA.Detected","missing"
"54","Cymatogaster aggregata","Water_Canyon",0.632766159784609,0.632766159784609,0,0,"eDNA.Detected.Only","eDNA.Detected.Only",2.815728434398,0,"eDNA.Detected","missing"
"55","Embiotoca jacksoni","Bechers",0.378732052991077,0.378732052991077,1,0,"Both.Detected","Matching",4.98522394570462,4,"eDNA.Detected","BRUV.Detected"
"56","Embiotoca jacksoni","Ben_Weston",0,0,0,0,"Both.Missed","Matching",4.98522394570462,4,"eDNA.Detected","BRUV.Detected"
