"","Species","Site","e_index","sd_e_index","mean_seine_count","sd_seine_count","matching","matching2","eDNA_Presence_tot","nps_Presence_tot","eDNA_detect","Seine_detect"
"1","Amphistichus argenteus","Bechers",0,0,17,10.0332779621949,"Seine.Detected.Only","Seine.Detected.Only",1.32208412711388,133.083333333333,"eDNA.Detected","Seine.Detected"
"2","Amphistichus argenteus","Ben_Weston",0,0,1.33333333333333,0.577350269189626,"Seine.Detected.Only","Seine.Detected.Only",1.32208412711388,133.083333333333,"eDNA.Detected","Seine.Detected"
"3","Amphistichus argenteus","China_Camp",0,0,5,2.3094010767585,"Seine.Detected.Only","Seine.Detected.Only",1.32208412711388,133.083333333333,"eDNA.Detected","Seine.Detected"
"4","Amphistichus argenteus","Christy",0,0,23,17.5309250564063,"Seine.Detected.Only","Seine.Detected.Only",1.32208412711388,133.083333333333,"eDNA.Detected","Seine.Detected"
"5","Amphistichus argenteus","Coches",0,0,4,2.82842712474619,"Seine.Detected.Only","Seine.Detected.Only",1.32208412711388,133.083333333333,"eDNA.Detected","Seine.Detected"
"6","Amphistichus argenteus","Cuylers_Harbor",0,0,8,0,"Seine.Detected.Only","Seine.Detected.Only",1.32208412711388,133.083333333333,"eDNA.Detected","Seine.Detected"
"7","Amphistichus argenteus","Dangermond",0.322084127113881,0.322084127113881,4,1.4142135623731,"Both.Detected","Matching",1.32208412711388,133.083333333333,"eDNA.Detected","Seine.Detected"
"8","Amphistichus argenteus","Emerald_Bay",0,0,0,0,"Both.Missed","Matching",1.32208412711388,133.083333333333,"eDNA.Detected","Seine.Detected"
"9","Amphistichus argenteus","Ford_Pt",0,0,2.5,0.707106781186548,"Seine.Detected.Only","Seine.Detected.Only",1.32208412711388,133.083333333333,"eDNA.Detected","Seine.Detected"
"10","Amphistichus argenteus","Forney",0,0,20.3333333333333,12.7410099024109,"Seine.Detected.Only","Seine.Detected.Only",1.32208412711388,133.083333333333,"eDNA.Detected","Seine.Detected"
"11","Amphistichus argenteus","Little_Harbor",0,0,0,0,"Both.Missed","Matching",1.32208412711388,133.083333333333,"eDNA.Detected","Seine.Detected"
