"","MethodSite","Site","Location","Sample_date","temp_2018","avg_temp_total","Method"
"BRUV.Bechers","BRUV.Bechers","Bechers","Santa_Rosa_Island","9_19_2018",16.68166629,15.35303887,"BRUV"
"BRUV.Ben_Weston","BRUV.Ben_Weston","Ben_Weston","Santa_Catalina_Island","10_20_2018",19.90749956,18.67308782,"BRUV"
"BRUV.China_Camp","BRUV.China_Camp","China_Camp","Santa_Rosa_Island","9_12_2018",16.72999963,15.54767122,"BRUV"
"BRUV.Christy","BRUV.Christy","Christy","Santa_Cruz_Island","8_26_2018",16.61499963,16.16470552,"BRUV"
"BRUV.Coches","BRUV.Coches","Coches","Santa_Cruz_Island","8_24_2018",20.69499954,17.58985255,"BRUV"
"BRUV.Cuylers_Harbor","BRUV.Cuylers_Harbor","Cuylers_Harbor","San_Miguel_Island","10_16_2018",16.20499964,14.76970555,"BRUV"
"BRUV.Dangermond","BRUV.Dangermond","Dangermond","Point_Concepcion","11_2_2018",15.44249965,15.34044083,"BRUV"
"BRUV.Emerald_Bay","BRUV.Emerald_Bay","Emerald_Bay","Santa_Catalina_Island","10_21_2018",19.15166624,18.25725449,"BRUV"
"BRUV.Ford_Pt","BRUV.Ford_Pt","Ford_Pt","Santa_Rosa_Island","9_9_2018",19.30749957,16.57764669,"BRUV"
"BRUV.Forney","BRUV.Forney","Forney","Santa_Cruz_Island","8_25_2018",17.9774996,15.7141173,"BRUV"
"BRUV.Little_Harbor","BRUV.Little_Harbor","Little_Harbor","Santa_Catalina_Island","10_19_2018",19.90749956,18.67308782,"BRUV"
"BRUV.R_Beach","BRUV.R_Beach","R_Beach","Isla_Vista","10_10_2018",19.06999957,16.31397022,"BRUV"
"BRUV.Sandy_Point","BRUV.Sandy_Point","Sandy_Point","Santa_Rosa_Island","9_10_2018",16.02166631,15.07450947,"BRUV"
"BRUV.Santa_Claus","BRUV.Santa_Claus","Santa_Claus","Santa_Barbara",NA,21.03249953,17.4042153,"BRUV"
"BRUV.Santa_Monica","BRUV.Santa_Monica","Santa_Monica","Santa_Monica","8_15_2018",19.76499956,17.87735254,"BRUV"
"BRUV.Southeast_Anchorage","BRUV.Southeast_Anchorage","Southeast_Anchorage","Santa_Rosa_Island","9_13_2018",17.9799996,15.0580879,"BRUV"
"BRUV.Water_Canyon","BRUV.Water_Canyon","Water_Canyon","Santa_Rosa_Island","9_8_2018",16.91999962,15.26220554,"BRUV"
"eDNA.Bechers","eDNA.Bechers","Bechers","Santa_Rosa_Island","9_19_2018",16.68166629,15.35303887,"eDNA"
"eDNA.Ben_Weston","eDNA.Ben_Weston","Ben_Weston","Santa_Catalina_Island","10_20_2018",19.90749956,18.67308782,"eDNA"
"eDNA.China_Camp","eDNA.China_Camp","China_Camp","Santa_Rosa_Island","9_12_2018",16.72999963,15.54767122,"eDNA"
"eDNA.Christy","eDNA.Christy","Christy","Santa_Cruz_Island","8_26_2018",16.61499963,16.16470552,"eDNA"
"eDNA.Coches","eDNA.Coches","Coches","Santa_Cruz_Island","8_24_2018",20.69499954,17.58985255,"eDNA"
"eDNA.Cuylers_Harbor","eDNA.Cuylers_Harbor","Cuylers_Harbor","San_Miguel_Island","10_16_2018",16.20499964,14.76970555,"eDNA"
"eDNA.Dangermond","eDNA.Dangermond","Dangermond","Point_Concepcion","11_2_2018",15.44249965,15.34044083,"eDNA"
"eDNA.Emerald_Bay","eDNA.Emerald_Bay","Emerald_Bay","Santa_Catalina_Island","10_21_2018",19.15166624,18.25725449,"eDNA"
"eDNA.Ford_Pt","eDNA.Ford_Pt","Ford_Pt","Santa_Rosa_Island","9_9_2018",19.30749957,16.57764669,"eDNA"
"eDNA.Forney","eDNA.Forney","Forney","Santa_Cruz_Island","8_25_2018",17.9774996,15.7141173,"eDNA"
"eDNA.Little_Harbor","eDNA.Little_Harbor","Little_Harbor","Santa_Catalina_Island","10_19_2018",19.90749956,18.67308782,"eDNA"
"eDNA.R_Beach","eDNA.R_Beach","R_Beach","Isla_Vista","10_10_2018",19.06999957,16.31397022,"eDNA"
"eDNA.Sandy_Point","eDNA.Sandy_Point","Sandy_Point","Santa_Rosa_Island","9_10_2018",16.02166631,15.07450947,"eDNA"
"eDNA.Santa_Claus","eDNA.Santa_Claus","Santa_Claus","Santa_Barbara",NA,21.03249953,17.4042153,"eDNA"
"eDNA.Santa_Monica","eDNA.Santa_Monica","Santa_Monica","Santa_Monica","8_15_2018",19.76499956,17.87735254,"eDNA"
"eDNA.Soledad","eDNA.Soledad","Soledad","Santa_Rosa_Island","9_11_2018",15.81249965,15.04441143,"eDNA"
"eDNA.Southeast_Anchorage","eDNA.Southeast_Anchorage","Southeast_Anchorage","Santa_Rosa_Island","9_13_2018",17.9799996,15.0580879,"eDNA"
"eDNA.Water_Canyon","eDNA.Water_Canyon","Water_Canyon","Santa_Rosa_Island","9_8_2018",16.91999962,15.26220554,"eDNA"
"seine.Bechers","seine.Bechers","Bechers","Santa_Rosa_Island","9_19_2018",16.68166629,15.35303887,"seine"
"seine.Ben_Weston","seine.Ben_Weston","Ben_Weston","Santa_Catalina_Island","10_20_2018",19.90749956,18.67308782,"seine"
"seine.China_Camp","seine.China_Camp","China_Camp","Santa_Rosa_Island","9_12_2018",16.72999963,15.54767122,"seine"
"seine.Christy","seine.Christy","Christy","Santa_Cruz_Island","8_26_2018",16.61499963,16.16470552,"seine"
"seine.Coches","seine.Coches","Coches","Santa_Cruz_Island","8_24_2018",20.69499954,17.58985255,"seine"
"seine.Cuylers_Harbor","seine.Cuylers_Harbor","Cuylers_Harbor","San_Miguel_Island","10_16_2018",16.20499964,14.76970555,"seine"
"seine.Dangermond","seine.Dangermond","Dangermond","Point_Concepcion","11_2_2018",15.44249965,15.34044083,"seine"
"seine.Emerald_Bay","seine.Emerald_Bay","Emerald_Bay","Santa_Catalina_Island","10_21_2018",19.15166624,18.25725449,"seine"
"seine.Ford_Pt","seine.Ford_Pt","Ford_Pt","Santa_Rosa_Island","9_9_2018",19.30749957,16.57764669,"seine"
"seine.Forney","seine.Forney","Forney","Santa_Cruz_Island","8_25_2018",17.9774996,15.7141173,"seine"
"seine.Little_Harbor","seine.Little_Harbor","Little_Harbor","Santa_Catalina_Island","10_19_2018",19.90749956,18.67308782,"seine"
"seine.R_Beach","seine.R_Beach","R_Beach","Isla_Vista","10_10_2018",19.06999957,16.31397022,"seine"
"seine.Sandy_Point","seine.Sandy_Point","Sandy_Point","Santa_Rosa_Island","9_10_2018",16.02166631,15.07450947,"seine"
"seine.Santa_Claus","seine.Santa_Claus","Santa_Claus","Santa_Barbara",NA,21.03249953,17.4042153,"seine"
"seine.Santa_Monica","seine.Santa_Monica","Santa_Monica","Santa_Monica","8_15_2018",19.76499956,17.87735254,"seine"
"seine.Soledad","seine.Soledad","Soledad","Santa_Rosa_Island","9_11_2018",15.81249965,15.04441143,"seine"
"seine.Southeast_Anchorage","seine.Southeast_Anchorage","Southeast_Anchorage","Santa_Rosa_Island","9_13_2018",17.9799996,15.0580879,"seine"
"seine.Water_Canyon","seine.Water_Canyon","Water_Canyon","Santa_Rosa_Island","9_8_2018",16.91999962,15.26220554,"seine"
