"seq_number","Site","Bio_repA.x","Bio_repB.x","Bio_repC.x","Bio_repA.y","Bio_repB.y","Bio_repC.y","max_Occupancy_prob","sum.taxonomy"
"merged_elas_fishcard_12S_all_1","Santa_Monica",2,2,3,2,2,3,0.996405645132712,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","Christy",3,2,3,3,2,3,0.996046202872442,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","Water_Canyon",3,3,3,3,3,3,0.996391911083735,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","Ford_Pt",1,2,2,1,2,2,0.96525791600007,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","Sandy_Point",3,2,NA,3,2,NA,0.995080318546381,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","Soledad",3,3,3,3,3,3,0.996391911083735,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","China_Camp",3,3,1,3,3,1,0.996131826775423,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","Southeast_Anchorage",1,NA,2,1,NA,2,0.95682269666134,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","Coches",3,3,3,3,3,3,0.996391911083735,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","Forney",1,1,3,1,1,3,0.99633788361868,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","Cuylers_Harbor",3,3,3,3,3,3,0.996391911083735,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","Emerald_Bay",3,3,2,3,3,2,0.995920974696462,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","Bechers",3,3,3,3,3,3,0.996391911083735,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","Little_Harbor",3,3,2,3,3,2,0.995920974696462,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","Dangermond",3,1,3,3,1,3,0.996154918845855,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","R_Beach",3,3,3,3,3,3,0.996391911083735,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","Santa_Claus",3,3,2,3,3,2,0.995920974696462,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","PTDS",3,3,3,3,3,3,0.996391911083735,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","PIDB",3,3,2,3,3,2,0.995920974696462,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","LTGO_1.2",NA,2,3,NA,2,3,0.995131068995443,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","LTGO_5",1,1,3,1,1,3,0.99633788361868,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","LCZA",3,3,3,3,3,3,0.996391911083735,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_1","LTGP",3,3,3,3,3,3,0.996391911083735,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_elas_fishcard_12S_all_2","Santa_Monica",2,2,3,2,2,3,0.996405645132712,"Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"merged_elas_fishcard_12S_all_2","Christy",1,1,2,1,1,2,0.965981840651715,"Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
