sum.taxonomy,Bechers,Ben_Weston,China_Camp,Christy,Coches,Cuylers_Harbor,Dangermond,Emerald_Bay,Ford_Pt,Forney,Little_Harbor,R_Beach,Sandy_Point,Santa_Claus,Santa_Monica,Soledad,Southeast_Anchorage,Water_Canyon
Eukaryota;Chordata;Actinopteri;;Embiotocidae;;,0.20695020784339926,0.3725600127095251,0,0.44595113781040624,0.775665039994046,0.16258819807414954,0.08958498770663688,0,0,0.3182371048882554,0.5535925299586844,0.23795849456407625,0.348284979324493,0,0,0.2929377290428799,1,0.45055032482989243
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Amphistichus;,0.12858786539307024,0.20074577885136283,0.3808377718290637,0.46822774666465944,0.3248894344410668,0.26688265574304004,0.18435741084729182,0,0.030036704660175717,0.19333717252224494,0.19929252094324174,0.1646906191313676,0.3964843923170957,0.11741376238734727,0.0019126779272226962,0.5255742570333405,0.3705783107868566,1
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus,0.24392168709448483,0.1821285955859919,0.1709750202955056,0,0.32169892822950036,0,0,0,0,0.18161018922770678,0,0.28370295481884383,1,0,0,0.28857647557077637,0,0.1708849743465737
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata,0.3877995779430519,0,0,0,0,1,0.007151594457878838,0.2782794125303696,0,0,0,0,0,0,0,0,0,0.6406605923344616
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni,0.40518840150652424,0,0.19531474724335315,0.01194364176397832,0.23693601830808594,0.21994976005593903,1,0,0.8352280605475187,0.4477046102999213,0.35135211283503487,0.6302188705426744,0.26699481786851087,0.36031859913950864,0.16982186065655197,0.7149858980646165,0.6549983587096886,0.4066338259460378
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca lateralis,0.2913102631300354,0,1,0,0,0.09569526769988745,0.21143284775425697,0,0,0,0,0.7878497564031401,0.5045013882018151,0,0,0,0,0.05669408821953936
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Micrometrus;Micrometrus aurora,0.2792966011568288,0,0,0,0,0.698532148403048,1,0,0,0.15907213093918607,0,0,0.8699783507555453,0,0,0.97070781387097,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Micrometrus;Micrometrus minimus,0.23717913109234826,0,0.011604708790375607,0.2750565925772029,0,0.14707987843153555,0.2795342819785909,0,1,0.25390412831814996,0.2795667529784656,0.09563666605177495,0.8367558517199948,0,0,0.2845994776652589,0,0.02241467009026511
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Phanerodon;Phanerodon vacca,0.1384208993281828,0,0.022838912001639445,0.1286880160092272,0,0.01629227524273321,0.13111164132210462,0,0.05614180639201983,0.07476612990641412,0,0.033325616317639764,0,0,0,0,1,0.2605072232854984
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus toxotes,0.48262540404477583,0,0,0,0,0,0.6216384520353975,0,0,0,0,0.3620390423978079,0.0791510481843468,1,0,0.14658316701421376,0,0.38052672215041283
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Menticirrhus;Menticirrhus undulatus,1,0.17453329551120564,0,0.35409664261543683,0,0,0.20889679350533402,0,0,0,0.047525931916653205,0.5021018111569545,0,0.8470040926156474,0.9669067514817121,0,0,0.3126418348765951
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis,1,0.5764676568093203,0.12778963820172487,0.7388851737715754,0.6559359555745539,0.550357515160228,0.21899513735104295,0.3960067606060057,0.24382069304530266,0.09545848676274363,0.49840485675648044,0.32573033069278867,0.46014556097421927,0.5053963323927239,0.9889077383877343,0.0960068554920858,0.47934541302070244,0.3770713776511165
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis,0.13009907262932255,0.4804153352757137,0,0.8339358620532598,0.30903307599323765,0.07135392713588494,0.4438054145002493,0.12664532303189094,0,0.30252315526251566,0.03746848979828802,0.08358717760210191,0,1,0.24029704011939182,0.045626267210143734,0,0.3439211597716594
Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys myriaster,0.9259130268123414,0,0,0,0.4724900799522558,0,0,0,0,0,0,0.3101956280982412,0,1,0.21186958441264883,0.5191868098472949,0,0
Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys notatus,0.4943970306676373,0,0,0,0,1,0,0,0,0.03541560932602808,0,0,0.046675423449208435,0.136337707793313,0,0.13376364319952772,0,0.15151460718008425
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon;Cheilopogon pinnatibarbatus,0.6858061204907688,0.5120390779111292,0,0,0.39094342313720204,0,0,0,1,0,0.3466830627599953,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius gilberti,0.3162359756223095,0.016592262966109595,0,0,1,0.21644356467114928,0.4941468273593433,0,0.08061755736682306,0.31857357192044616,0.1612098370980682,0.8461719915662796,0,0,0,0.763683960622711,0,0.501455650567635
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;,0.4696204454940258,0.4832473515977866,0.149265192678474,0,0.361673589712711,0.1764919485360297,0.23808595026660376,0.2974432051114116,1,0.2784533339497241,0.7592152063934744,0.41066526983715906,0.9552407406802523,0.14574261219180834,0,0.41433968862788456,0.7027778633372925,0.32733336353352105
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;Gibbonsia montereyensis,0.28817571166842787,0,0.5994684870135915,0.4077552232566328,0.07502357085460774,0.37073448084820587,0.41878081651977883,0,1,0.5656641641869404,0,0.11332576054597071,0.7580968861240023,0,0,0.4657564446648024,0.6232827556605284,0.146269573762844
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus,0.2861534920806261,0.25042773408706903,0.9068594396781036,0,0.30398975614061235,0.23305932994896264,0.28960886263572966,0.19099565601624802,1,0.9141952008072961,0.8418417641792088,0.6358666523812189,0.2722943125977389,0.49652765967996304,0.05903893289750864,0.2936686864446934,0.12252159810307905,0.44872887063075007
Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Rimicola;Rimicola muscarum,0.1457365212734378,0.5842813592728398,0.4523787998298064,0,0,0,0.9522715808462118,0,0,1,0.21713344921481015,0.24514308556536862,0,0,0,0.96620904084728,0,0.1546528865401301
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus,0.9936002648003674,0,0,0,0.6670336301473698,0.9056995356401283,0.6786844279277507,1,0,0.12016923548378916,0.15886160302209637,0.012202334297753867,0,0.49390472432573385,0,0,0,0.5015258392218502
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans,0.10110278137156992,0.09431121829953625,0.6664497619183648,0.05332224122731372,0.7978858989546631,0.2533425509222484,0.29128830179495335,0.48882574511586036,1,0.7356552842239912,0.453157900258178,0.17510576180700546,0.1222889498279799,0,0,0,0.5919599725264085,0.16726013788505106
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis,0.8943717438629964,0.690913904895103,0,0,0.5721050946018658,0,0,0.35437627610191763,0.41594381721833523,1,0.23790684314340196,0.07879896542263891,0.010167469653919093,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax,0.08021895831641417,0.045044725935325707,0,0,0.06921145611818245,0.29160316128563213,0.22273355603938239,0.07430451928355922,1,0.21937874645128105,0,0.11895104725112439,0,0.47865009690521354,0.32973787180327985,0,0.11562469046689296,0.043621099229310636
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax,0.11731991826734343,0.13960220920200875,0.18986269393516791,0.5275105366930591,0.6569753526151817,0.3675623155724528,0.2319193734525709,1,0.12040646442986018,0.9341647952667491,0.11533190226359222,0.7131793851437961,0,0.3792188477487379,0,0.26516953415085553,0.9856755747534198,0.0728786022776886
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lepidogobius;Lepidogobius lepidus,0.6219257136089553,0.7086015523667917,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Rhinogobiops;Rhinogobiops nicholsii,0.4941814217165551,0,0.2805985398603182,0,0,0.20016665609049974,0,0.3582617957421336,0,0.32158391109155277,0,0,0,0,0,0,0,1
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Typhlogobius;Typhlogobius californiensis,0.04350090604676357,0,0.8198240591504703,0,0.25527355883469205,0.18379870525296566,0,0.2783248242297313,0.01901710886301037,0.09217200992330732,0.3806441953000492,0.10532321618594519,0,0,0,0.386022114039864,1,0
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Bodianus;Bodianus pulcher,0.04863198315144439,0.12520050769597793,0.04491776870913403,1,0.08382423816542338,0,0,0.02022049384565848,0,0.03699205775914763,0.06880735901015633,0.06991008194757369,0.09598687010823427,0,0,0,0,0.06328858219301811
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres californica,0.18204299373707358,0,1,0.24653190614345125,0.26399597529565966,0.2206749366933657,0.9924347989697299,0,0.7908320677652542,0.47878531810444197,0.11522726902484016,0,0.45096916708708185,0.0074263312243113165,0,0.14151825644770044,0,0.16119750365096516
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus,0.21940015377532374,0.24350289397424185,0,0,0.20460862983600994,0,0,0.46903591593020205,0,2.2512658443669438e-4,0.7187738605915646,0.09025131677799232,0.9460226038818744,0,1,0.22664787361716124,0,0
Eukaryota;Chordata;Actinopteri;Perciformes;;;,0.17847999029485928,0,0.02167160613606855,0,0,0,1,0,0,0.02120701930024163,0,0,0.07089048283419416,0,0,0.8455229496929699,0,0.05435482278142541
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Oligocottus;Oligocottus snyderi,0.07306786891854898,0,0,0,0,0.04550983304264216,1,0,0,0,0,0,0.22645000548129451,0,0,0.06120212616435634,0.012615881094144387,0
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Scorpaenichthys;Scorpaenichthys marmoratus,0.14909785823337038,0,1,0,0,0.35405952470062446,0.1751946396106154,0,0,0.34943885867828167,0,0.054134381294413954,0.3449965537651616,0.5135011378819768,0,0.23538594445978503,0.02407219632646044,0.0691412841099522
Eukaryota;Chordata;Actinopteri;Perciformes;Pholidae;;,0.11331427867100352,0,1,0,0,0,0,0,0,0.13373968842819792,0,0,0,0,0,0.3299911379922294,0,0.350252578777587
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;,0.22236984042515695,0.04128987419652807,0.16764628294970527,0,0.16518786382017056,0.07966295008312847,0.15827959185479074,0,1,0.2319346254323337,0.10256366931364196,0.15060815163905136,0.18852850737260285,0,0,0.24939168882441287,0.43144941851687585,0.1474354339915565
Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Anoplarchus;,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Cebidichthys;Cebidichthys violaceus,0.29200349631184663,0,0.9836451773409204,0,0,0.07868886254987584,0.021860685542465386,0,0,0,0,0,0.001205372746860041,0,0,0.3190723443880134,1,0
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus,0.07539504616068989,0,0,0,0.024483340178167754,0.1775191915800691,0,0,0,0,0,0.17825614752429506,0.08957275384025964,0,0,0.26036579353011874,1,0.07318075936818488
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys stigmaeus,0.39082414543711735,0,0.002347346949356309,1,0.38093239321558314,0.2624475866162223,0.5632577635393118,0,0,0.4450145468926719,0,0.11304940404231857,0.2903779543176975,0.08255504527807735,0,0.01261345507032058,0,0.6899504718092709
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus,0.15867749655385324,0.8022102475154168,0,0,0.3895635251177056,0.011507518921057931,0.201643157528485,1,0,0,0,0.27159997975199085,0,0.9052113215546673,0,0,0.4316410321271167,0.006419529428580976
Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Syngnathus;,0.09158362096491197,0,0,0,0,0.39738529284767893,0.4022213998661686,0,0,0.10337105250386115,0.18110153367311518,0.2518339367855447,0,0,1,0.2247635435221584,0,0.15962394414625053
Eukaryota;Chordata;Aves;Charadriiformes;Laridae;Larus;,0.04649470435734773,0,0,0,0.022647621851138347,0.46530274726473486,0,0.3681105183875709,0.013618349736340147,0.10324857083746337,0,0,1,0,0,0.01921017766616677,0,0
Eukaryota;Chordata;Aves;Charadriiformes;Laridae;Larus;Larus occidentalis,0.5846529203927994,0,0,0,0.7460829539046274,0,0,1,0,0.17253300141247546,0,0,0.25342966849827303,0.6220208028151724,0,0,0.2669928611163553,0
Eukaryota;Chordata;Chondrichthyes;;Platyrhinidae;Platyrhinoidis;Platyrhinoidis triseriata,0.3636648791243871,0.9891547090252928,0,0.02252054288744578,0.011382590479074303,0,0.7869725294273935,0.261293568340404,0,0.07466130764216711,0,0.21403357824354474,0.8535398452179749,1,0.04010344492376871,0.2965447963140912,0,0.27939378081960703
Eukaryota;Chordata;Chondrichthyes;;Squatinidae;Squatina;Squatina californica,1,0.010380566600980736,0,0,0.03022849656738524,0.05111288197853876,0,0,0,0.5758452941872345,0,0.2573165172684864,0,0.5684110144355256,0.0570098092808979,0,0,0.2534999869950486
Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Scyliorhinidae;Cephaloscyllium;Cephaloscyllium ventriosum,0.3840830657857164,0.008411562127224605,0,0,0,0.007964942103066933,1,0,0,0,0,0.00875454543139578,0,0,0,0.3391524729879149,0,0
Eukaryota;Chordata;Chondrichthyes;Heterodontiformes;Heterodontidae;Heterodontus;Heterodontus francisci,1,0,0,0.07070430055231007,0.48114993724091437,0,0,0.0069723742837289274,0,0.48490573942185133,0,0.2465407364095462,0,0,0.09401029574683042,0,0,0.529927748086173
Eukaryota;Chordata;Chondrichthyes;Hexanchiformes;Hexanchidae;Notorynchus;Notorynchus cepedianus,0.19339960274587684,0,0,0,0,1,0,0,0,0,0,0.03273670434709012,0,0,0,0.8837586605626879,0,0.027366205576240706
Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica,0.7761843527081549,0,0.3137514731767743,0.6583992460996928,0.19500243238108786,0.3197558560087286,0.3024208398810693,0.2015103647337231,0.10840519987952345,0.04838358191436133,0.28707310786366075,0.07964070656663691,0.05577577844754517,0.424465391535725,0.24295715880793853,0.7236334699577524,0.06318819526964405,1
Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Zalophus;Zalophus californianus,0.12026671006645165,0.07430972036209181,0.3898949995545233,0,0.15663207008735577,0.43881657547831854,1,0.5470939799237255,0.43576176988992693,0.10103462336402745,0.4418443384301093,0.655163527933321,0.058973931909398335,0,0,0.06625399314138711,0,0.026868378205212103
Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,0.10441218584091795,0.9520156992842215,0.733738558641356,0.05096961033537648,0.1864441775734003,1,0.25544697128214466,0.6475307543779757,0.07095126864354288,0.06810152173131803,0.26599395456449065,0.19671755092807724,0.11484444893253992,0.06327081082879228,0.3119079786899223,0.3876838518549023,0.2040460442489212,0.1776157488739193
NA,0.052271718002562716,0.16790364489326737,0.023227586863282707,1,0.05942612183628204,0.04184040470235995,0.01934839601409982,0.2636118602076886,0.05370729654185114,0.1036099402016528,0.05487895218286561,0.022130978358892214,0.02340490899407758,0.07743732718370011,0.22748885209536912,0.08701262299994626,0.03735777214267157,0.056130132630157786
Eukaryota;Chordata;Actinopteri;;;;,0,0.0054192718248302334,0,0,0,0,0,0,0,0,0.026501075373358787,0,0.622876091395698,0,0.09030503297549997,1,0,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis,0,1,0,0,0.18655746354827268,0,0,0.522598622925057,0,0.28928555067327744,0.2244079508243136,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus,0,1,0,0,0.31228301443697953,0.028601611954744272,0.21244972290256667,0.2554229987251719,0,0,0.0600683471220432,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Sciaenidae;;,0,0.0696203025589338,0,0,0,0,0,0,0,0,0,0.5796726862203496,0,0.10678472066606638,1,0,0,0
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Seriphus;Seriphus politus,0,0.029044898349840326,0,0,0.1377766359764343,0,0.3434812395880397,0.3421727178535891,0,0,0.4689357933941351,1,0,0.5480162630356209,0,0.35018912980011835,0,0.5572374265116286
