BBA_1,BBA_2,BBA_3,BBB_1,BBB_2,BBB_3,BBC_1,BBC_2,BBC_3,BWA_1,BWA_2,BWA_3,BWB_1,BWB_2,BWB_3,BWC_1,BWC_2,BWC_3,CBA_1,CBA_2,CBA_3,CBB_1,CBB_2,CBB_3,CBC_1,CBC_2,CBC_3,CCA_1,CCA_2,CCA_3,CCB_1,CCB_2,CCB_3,CCC_1,CCC_2,CCC_3,CHA_1,CHA_2,CHA_3,CHB_1,CHB_2,CHB_3,CHC_1,CHC_2,CHC_3,CPA_1,CPA_2,CPA_3,CPB_1,CPB_2,CPB_3,CPC_1,CPC_2,CPC_3,DPA_1,DPA_2,DPA_3,DPB_1,DPB_2,DPB_3,DPC_1,DPC_2,DPC_3,EBA_1,EBA_2,EBA_3,EBB_1,EBB_2,EBB_3,EBC_1,EBC_2,EBC_3,FCA_1,FCA_2,FCA_3,FCB_1,FCB_2,FCB_3,FCC_1,FCC_2,FCC_3,FPA_1,FPA_2,FPA_3,FPB_1,FPB_2,FPB_3,FPC_1,FPC_2,FPC_3,LHA_1,LHA_2,LHA_3,LHB_1,LHB_2,LHB_3,LHC_1,LHC_2,LHC_3,RBA_1,RBA_2,RBA_3,RBB_1,RBB_2,RBB_3,RBC_1,RBC_2,RBC_3,SAA_1,SAA_2,SAA_3,SAB_1,SAB_2,SAB_3,SAC_1,SAC_2,SAC_3,SCA_1,SCA_2,SCA_3,SCAR_1,SCAR_2,SCAR_3,SCB_1,SCB_2,SCB_3,SCBR_1,SCBR_2,SCBR_3,SCC_1,SCC_2,SCC_3,SCCR_1,SCCR_2,SCCR_3,SMA_1,SMA_2,SMA_3,SMB_1,SMB_2,SMB_3,SMC_1,SMC_2,SMC_3,SPA_1,SPA_2,SPA_3,SPB_1,SPB_2,SPB_3,SPC_1,SPC_2,SPC_3,WCA_1,WCA_2,WCA_3,WCB_1,WCB_2,WCB_3,WCC_1,WCC_2,WCC_3,sum.taxonomy
0.07757832305136919,0.018259761680658838,0.041756059485786534,0.13883943293540033,0.0939895640884778,0.33253353011379305,0.11435316093745607,0.02839290593193751,0.07969557125784757,0,0,0,0,0,0,0,0,0,0.1569272444201648,0.016267590324418348,0.2624315115482613,0.27392257904687284,0.029457217820644525,0.0033449675878095245,0.14776184517915217,0.10460531060594157,0.1485530458644311,0.03761725867604404,0,0.2184367769585396,0.5464500075361574,0.044654696610649615,0.19754255800572953,0.021243054246254566,0,0,0.016356507390396114,0.0038449125157449106,0.061602758068001084,0.06366803398261127,0.004923840223148951,0.06220477890121366,0.00927258087691891,0.012652946779521735,0.0063144924258016575,0.12383533408983154,0.001636737142673528,0.011213378136029965,0.03778011860817129,0.023663143666073878,0.0028378473674050718,0.005764250347884183,0.03234020852281025,0.03040163635843651,0.12276412476936197,0.024859635612002662,0.07638662448164914,0.0018409991460425646,0,0.024634676832180902,0.025304988262143998,0.041985700933010496,0.11470053180379358,0.057273956535453314,0.01878467100218356,0.06653357927822028,0.012217590711931039,0.011057288946948652,0.01451371008377713,1.0517691799079297e-4,0.007940189729125769,0.03584043918358751,0.001356424149576366,4.290202199038762e-4,0.0164150387232334,0,0.023122516793465542,2.0654328504917456e-4,0.008804929001527219,0,6.733790336110831e-4,0.0020142723852703296,0.07629950025475084,0,0,0,0,0.5283998779400589,0,0.5118450112131522,0.026019712056585632,0.023415622257282283,0.04683677395648782,0.05517001232132126,0.0315765649904171,0.030601763105802433,0.04519057791484205,0.011276118679165953,5.612231548502586e-4,0.028943894776263933,0.006303632414688108,0.022225712921540793,0.015509560910637604,0.003341769094004184,0.0023695314076456965,0.005899934757662266,0.00609030767977578,0.0013010342681267037,0.042525095894737894,0.005185879412683536,0.006638210978601512,0.0031712375197680397,0,0.0013849095953929111,0.017264861987473047,0.007023043833735783,0,0.22029198481284573,0.09194473418678374,0.07910194730813287,0.2896555977493627,0.0665026790326475,1,0.007221458247568663,0.01310276062028808,0.005206826415504532,0.297028603429656,0.20810950373026327,0.01004321027971523,0.0011063110081647824,0.04079168000823172,0.08703729391379604,0.3210695044895244,0.7652644820814924,0.04809979869456475,0.0038505154639175256,0.0024664829914715363,0.0010826128142878803,0.051147768299298076,0.0836163584201038,0,0.02284738517656197,0.04983482571593052,0.014346796789139228,0.006726898993317574,0.0053938479521462735,0.001964122812103256,0.015318917698068405,0.0012218981291146238,0.02562219382540336,0,0,0,0.24030301597344236,0.35844429198444155,0.21518657245344927,0.21839297155420787,0.26072561783182013,0.29892126990693696,0.2353898177498368,0.07329246771197685,0.254472256876332,Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica
0,0,0,0,0,0,0.0723048066911087,0,0.09804222137828449,0,0.448968001566636,0.17913558536295685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19287746728861654,0,0,0.09903209300706671,0.10559743040984268,0.00377182400838262,0,0.0886292164511245,0,0,0,0,0,0,0,0,0,0,0.25124001177680355,0.24673031905492007,0.3246631718825115,0.47108533782698087,0.8243299366851824,0.35922879749603637,0.3764503123210264,0.4201883521549649,0.5567342955192612,0,0,0,0,0,0,4.185369645641914e-5,0,0,0,0,0,0,0,0,0,0,0,0.7425332841749508,0.5361386242477872,0.5580609782536738,0.9788926949643502,0.7491553992732527,0.9562782895335075,0.6295520536845634,0.8760429895902077,1,0.042811405831185693,0.012849888900805928,0,0,0,0,0.0126246317078847,0.09498901525548559,0.013410304505643143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06511116956196943,0,0,0,0,0,0,0,0,0,0,0,0.1659410438095381,0,0,0,0,0.8353343667922386,0,0,0,0,0,0,0,0,0.5743065997789776,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus
0.03528328405951631,0.009251801829709022,0,0.1051548253137131,0.02502433808391452,0.19756018757040442,0,0,0.020562675945515904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010633752670306196,0,0,0.020559889857732907,0,0.1553507940999176,0,0,0.054495415633980575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006281054768554348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018666666666666668,0,0,0,0.013084112149532711,0,0,0.01572625939687203,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01154865386003444,0,0,0.005969618903793196,0.022125778631090918,0.07852940279852452,0,0.044066578852831995,0.004775203052719095,0.0395704437706952,0.04088990302338848,0,0.008920038228735267,Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys notatus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8504265130468526,0,0.2751727497583362,0,0.9969522699179248,1,0.37202666945090773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17761552939674696,0,0,0,0,0,0,0.15015247609547902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;;
0,0,0,0,0,0,0,0,0,0.027979402099922293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo
0,0,0,0,0,0,0,0,0,0,0,0,0.003026368317982366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009977026042062555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9955051658603705,0,0,0,0,0,0,0,0,0,0,0.026647262237975564,0.025170095802268685,0,0.03084451159365192,0,0,0,0,0,0,0,0.013277188119204725,1,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;;;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7301322283960067,Eukaryota;Chordata;Aves;Passeriformes;Corvidae;Corvus;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9815120634792767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4145795125552211,0,0,0,0,0,0,0.0914735062508342,0,0,0,0,0,0,0,0,0,0,0,0,0.05347173068331816,0,0,0,0,0,0,0,0.17825956077848393,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Galeorhinus;Galeorhinus galeus
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013243705428578228,0,0,0,0,0,0.013363189942562978,0,0,0,0.018313892738844973,0,0,0.07399182937602869,0,0,0,0.10514248088470714,0,0,0,0.4135964670408849,0,0,0.0028576383126249715,0.0074021094339667805,0,0,0,0.11034329959416293,0,0.03686583469418777,0,0,0.2391936533468666,0.03438987677376985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005112267402016547,0,0.028423883405454792,0,0,0,0.027179854685771238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
0.0011279117029062658,6.179171630204798e-4,0,0.004321950388724845,0.004032455409714118,0.00789656805685703,0.004435165834362133,2.936569373806498e-4,0.0033134971872839734,0,0,0,0.012502257481339705,0.0021501549559814273,0.0836761171150381,0.009445903718241822,5.249852448680044e-4,0.03580253968038554,0.06002788029294187,0.0031202818534566993,0.06205309448656476,0.10412556575520102,0.01173027214633814,0,1,0.536559072100036,0.8469811559541095,0.003987187569046222,0,0,0,0.0021357012105503916,0.005479075547304493,0.009381387621360173,0,0,0.0014204321284092423,5.896946775246734e-4,0.0059245023284936376,0.003763506545791667,9.065329839375838e-4,0.0026789193877025785,0.002725762204294395,0.00824077453850898,5.055119299098111e-4,0.08562644361814359,0,0,0.005544563759388686,3.634435976428373e-4,0,0.004814263437143449,8.752979159975922e-4,0.0020783893782708876,8.645205714161261e-4,0.0014039104385109812,0.0014119447085790115,0.0018393362707816623,0,0.0028879522442260357,3.632490176825592e-4,0.0022329295020397065,0.0021425707878924426,0.19280554661410573,0.002453823344510077,0.11388214754356828,0.0019669863385622143,0.007771532103430708,0.009395629483377533,0.010727112396347034,0.006014201207997927,0.00788765794887211,0.022671882052314633,0,0.26111709933209165,0.012467667860520983,0.0015966767406770984,0,0.021839502268858862,4.190584621463231e-4,2.452810232538026e-4,0,0.04195079254811173,0,0,0,0,0.19295416769807627,0,0.09569569128903006,0.0034595716535318977,0.00279716515294663,0.0016591129114942147,0.003932848976801178,0.002472970941469348,0.0027553925656724136,0.0033413068436561355,0.001543710136716194,0.006683900014696687,3.2398248914450425e-4,0.002051359046631126,0.004934586140773735,7.409075390974003e-4,0,0.0020923911570506983,0.0013455078147738416,0,6.619652895496719e-4,0.006273317201875653,5.495207123037777e-4,0.0031553978177608247,0.0040660788269529105,0,0.03151666996136147,0.03329631345812021,0.006139612759811366,0,0.0013578803530659538,0.0021961468519902153,0,0.0649421268586843,0.04382409405354047,0.12016627624474173,3.5307989692415616e-4,0,0.017527269112862846,0.06197896109575885,0.05755937419364245,0.0048777063559608405,7.164057555174231e-4,0.0034929151586450633,0.0032255422104996165,0.06091525728260327,0.20407702792308258,0.007377071692539618,0.13184118102114492,0.007610199729113166,0.002804238755390673,0.012775392319527496,0.00727862870081265,0,0.2127948073304735,0.0849831722994251,0.05046974526619152,0.020266888410104343,0.01158157118536805,0.003052542462470198,0.008814231860988517,0.004607900636781503,0.001439799682374794,0.010524118056853667,0,0.0056704562442219785,0.027995251489805927,0.01641878029841577,0.015296751911015467,0.014900615513500828,0.011764984360499772,0.01152753194625432,0.037930408550346316,0.006996974372696565,0.008397365729477128,NA
