sum.taxonomy,Ben_Weston,Christy,Little_Harbor,Sandy_Point,Santa_Monica,Soledad,Bechers,China_Camp,Coches,Cuylers_Harbor,Dangermond,Forney,R_Beach,Southeast_Anchorage,Water_Canyon,Ford_Pt,Santa_Claus,Emerald_Bay
Eukaryota;Chordata;Actinopteri;;;;,3,129,12,813,71,508,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;;,311,2470,378,3323,0,1122,131,424,6492,430,420,3175,835,12665,3026,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Amphistichus;,21948,99949,37626,88148,11,105382,17768,96714,69122,65054,88453,56406,50460,68301,268782,1573,13949,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus,337,181,0,18085,0,980,2738,390,2173,0,0,3213,1324,0,1590,877,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata,0,245,0,0,0,0,15580,4672,453,50062,28,0,0,211,52103,0,0,3538
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni,0,1574,33395,12507,732,28247,29091,19318,19311,8997,139083,48690,47885,32991,63360,60723,2022,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca lateralis,0,88,0,1874,0,0,2588,8196,0,444,1739,0,970,0,167,10479,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Micrometrus;Micrometrus aurora,0,0,0,7477,0,3258,772,7235,0,10756,1706,231,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Micrometrus;Micrometrus minimus,0,5135,2110,4559,55,11178,3319,2985,0,3583,27161,14121,6306,0,728,46860,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Phanerodon;Phanerodon vacca,0,691,0,0,0,0,6979,3073,0,143,765,1269,815,15762,16331,302,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus toxotes,0,0,0,77,0,222,302,3473,0,0,2881,0,1507,0,1579,0,1076,0
Eukaryota;Chordata;Actinopteri;;Moronidae;Morone;Morone saxatilis,0,0,0,0,0,0,0,0,987,0,261,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis,2820,0,438,0,0,0,0,0,189,0,0,150,0,0,0,0,0,827
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus,2483,0,183,0,0,0,0,1048,1456,75,1111,0,0,0,0,0,0,1735
Eukaryota;Chordata;Actinopteri;;Sciaenidae;;,1,0,0,0,34,0,0,0,0,0,0,0,7,0,0,0,1,0
