BBA_1,BBA_2,BBA_3,BBB_1,BBB_2,BBB_3,BBC_1,BBC_2,BBC_3,BWA_1,BWA_2,BWA_3,BWB_1,BWB_2,BWB_3,BWC_1,BWC_2,BWC_3,CBA_1,CBA_2,CBA_3,CBB_1,CBB_2,CBB_3,CBC_1,CBC_2,CBC_3,CCA_1,CCA_2,CCA_3,CCB_1,CCB_2,CCB_3,CCC_1,CCC_2,CCC_3,CHA_1,CHA_2,CHA_3,CHB_1,CHB_2,CHB_3,CHC_1,CHC_2,CHC_3,CPA_1,CPA_2,CPA_3,CPB_1,CPB_2,CPB_3,CPC_1,CPC_2,CPC_3,DPA_1,DPA_2,DPA_3,DPB_1,DPB_2,DPB_3,DPC_1,DPC_2,DPC_3,EBA_1,EBA_2,EBA_3,EBB_1,EBB_2,EBB_3,EBC_1,EBC_2,EBC_3,FCA_1,FCA_2,FCA_3,FCB_1,FCB_2,FCB_3,FCC_1,FCC_2,FCC_3,FPA_1,FPA_2,FPA_3,FPB_1,FPB_2,FPB_3,FPC_1,FPC_2,FPC_3,LHA_1,LHA_2,LHA_3,LHB_1,LHB_2,LHB_3,LHC_1,LHC_2,LHC_3,RBA_1,RBA_2,RBA_3,RBB_1,RBB_2,RBB_3,RBC_1,RBC_2,RBC_3,SAA_1,SAA_2,SAA_3,SAB_1,SAB_2,SAB_3,SAC_1,SAC_2,SAC_3,SCA_1,SCA_2,SCA_3,SCAR_1,SCAR_2,SCAR_3,SCB_1,SCB_2,SCB_3,SCBR_1,SCBR_2,SCBR_3,SCC_1,SCC_2,SCC_3,SCCR_1,SCCR_2,SCCR_3,SMA_1,SMA_2,SMA_3,SMB_1,SMB_2,SMB_3,SMC_1,SMC_2,SMC_3,SPA_1,SPA_2,SPA_3,SPB_1,SPB_2,SPB_3,SPC_1,SPC_2,SPC_3,WCA_1,WCA_2,WCA_3,WCB_1,WCB_2,WCB_3,WCC_1,WCC_2,WCC_3,sum.taxonomy
0.10137452458313351,0.02386072019309315,0.054564219905007906,0.1814267304785425,0.1228197130393789,0.4345341223851309,0.14942959410113937,0.03710208247834762,0.10414121277532497,0,0,0,0,0,0,0,0,0,0.20506275685672518,0.0327685286655958,0.34292916722654737,0.35794497910292805,0.038492859018521196,0.004370995474285349,0.19308598352460468,0.13669170993199475,0.1941198753408391,0.04915589257942094,0.10183213244368448,0.022072389654413105,0.2057101027977696,0.05835197850707825,0.25813632101207773,0.027759101256697824,0,0,0.021373665932994813,0.0050242923927253024,0.08049865048021536,0.08319742451581767,0.006434167975176738,0.08128533383911776,0.012116831623620917,0.016534083412712643,0.008251385728273265,0.1618203078666395,0.04731225963639489,0.014652944698975144,0.04936870780336061,0.030921523499576203,0.0037083223301912914,0.0075323636244107725,0.04226017184914426,0.03972696638911704,0.16042051819189082,0.03248502471248284,0.09981728705594725,0.0024057031119948387,0,0.03219106257901248,0.033066983839776964,0.05486430105682008,0.14988351673112044,0.07484204203450051,0.0245466390274509,0.08694194077484335,0.015965187197372107,0.01444897706068001,0.018965613096664766,1.3743865088931798e-4,0.010375745791218131,0.046834055444599725,0.0017724906634722418,5.606169238861789e-4,0.021450151036129465,0,0.030215065947622594,2.422716018103989e-4,0.011505733256531286,0.06272674272171441,8.799298143035672e-4,0.002632125797595597,0.09970343853829317,0,0.04298074547909668,0,0.002629184238482901,0.02804073533303411,0,0.049153236992270734,0.034000940414499484,0.030598077926722294,0.061203381384032675,0.07209273867155153,0.041262290005319405,0.039988479567961546,0.059052234845559895,0.014734930136173717,7.333714918060112e-4,0.037822080410079346,0.008237194541607954,0.02904317845914871,0.02026692898179744,0.004366815881634399,0.0030963561789783506,0.007709667566975866,0.00795843505399644,0.0017001106135070274,0.055569148824300765,0.006776584480411435,0.008674400986892547,0.004143975833220935,0.0032965902159688937,0.001809713671312702,0.137035582599081,0.01767346577582201,0,0.28786385618428195,0.12014765658102583,0.10336550194120908,0.37850390882052926,0.08690156225696319,0.12354824645116654,0.009436552220386018,0.017121872146279457,0.006803956720089959,0.38813849379465337,0.27194454806554297,0.04612889423157928,0.0014456583757234565,0.05330402882057166,0.11373491904009143,0.4195536471472277,1,0.06285382350914157,0.03754447445487936,0.0032230464750732835,0.00923956540511915,0.06683672050240454,0.10926465343415685,0,0.029855541073091345,0.06512104884363841,0.01874750119085162,0.04583582699674607,0.018223010849076876,0.036112107792565094,0.02001780829603053,0.0015967004319749742,0.03348148832899169,0,0,0,0.3140130263459068,0.46839269347701296,0.2811924210413495,0.2853823438403762,0.3407000114818548,0.39061171255966515,0.3075927646734431,0.09577403554993683,0.3325285085545541,Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica
0,0,0,0,0,0,0.0723048066911087,0,0.09804222137828449,0,0.448968001566636,0.17913558536295685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5508683758147427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19287746728861654,0,0,0.09903209300706671,0.10559743040984268,0.00377182400838262,0,0.0886292164511245,0,0,0,0,0,0,0,0,0,0,0.25124001177680355,0.24673031905492007,0.3246631718825115,0.47108533782698087,0.8243299366851824,0.35922879749603637,0.3764503123210264,0.4201883521549649,0.5567342955192612,0,0,0,0,0,0,4.185369645641914e-5,0,0,0,0,0,0,0,0,0,0,0,0.7425332841749508,0.5361386242477872,0.5580609782536738,0.9788926949643502,0.7491553992732527,0.9562782895335075,0.6295520536845634,0.8760429895902077,1,0.042811405831185693,0.012849888900805928,0,0,0,0,0.0126246317078847,0.09498901525548559,0.013410304505643143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06511116956196943,0,0,0,0,0,0,0,0,0,0,0.08302098225008221,0.1659410438095381,0,0,0,0,0.8353343667922386,0,0,0,0,0,0,0,0,0.5743065997789776,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus
0.03528328405951631,0.009251801829709022,0,0.1051548253137131,0.02502433808391452,0.19756018757040442,0,0,0.020562675945515904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010633752670306196,0,0,0.020559889857732907,0,0.1553507940999176,0,0,0.054495415633980575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006281054768554348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018666666666666668,0,0,0,0.013084112149532711,0,0,0.01572625939687203,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01154865386003444,0,0,0.005969618903793196,0.022125778631090918,0.07852940279852452,0,0.044066578852831995,0.004775203052719095,0.0395704437706952,0.04088990302338848,0,0.008920038228735267,Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys notatus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8504265130468526,0,0.2751727497583362,0,0.9969522699179248,1,0.37202666945090773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17761552939674696,0,0,0,0,0,0,0.15015247609547902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;;
0,0,0,0,0,0,0,0,0,0.027979402099922293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo
0,0,0,0,0,0,0,0,0,0,0,0,0.003026368317982366,0,0,0,0,0,0,0.07923068495430824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009977026042062555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9955051658603705,0,0,0,0,0,0,0,0,0,0,0.026647262237975564,0.025170095802268685,0,0.03084451159365192,0,0,0,0,0,0,0,0.013277188119204725,1,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;;;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7301322283960067,Eukaryota;Chordata;Aves;Passeriformes;Corvidae;Corvus;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40039917632197014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9815120634792767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06402671867154018,0,0,0,0,0.4145795125552211,0,0,0,0,0,0,0.0914735062508342,0,0,0,0,0,0,0,0,0,0,0,0,0.05347173068331816,0,0,0,0,0,0,0,0.17825956077848393,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Galeorhinus;Galeorhinus galeus
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36858022657424866,0,0,0,0,0,0,0.013243705428578228,0,0,0,0,0,0.013363189942562978,0,0,0,0.046278036776755085,0,0,0.07399182937602869,0,0,0,0.10514248088470714,0,0,0,0.4135964670408849,0,0,0.0028576383126249715,0.0074021094339667805,0,0,0,0.11034329959416293,0,0.03686583469418777,0,0,0.2391936533468666,0.03438987677376985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005112267402016547,0,0.028423883405454792,0,0,0,0.027179854685771238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
0.0011279117029062658,6.179171630204798e-4,0,0.004321950388724845,0.004032455409714118,0.00789656805685703,0.004435165834362133,2.936569373806498e-4,0.0033134971872839734,0,0,0,0.012502257481339705,0.0021501549559814273,0.0836761171150381,0.009445903718241822,5.249852448680044e-4,0.03580253968038554,0.06002788029294187,0.06843075059092718,0.06205309448656476,0.10412556575520102,0.01173027214633814,0,1,0.536559072100036,0.8469811559541095,0.003987187569046222,0.0042791403719545295,0.7051958943471465,0.0042901034018139475,0.0021357012105503916,0.005479075547304493,0.009381387621360173,0,0.0026955698344894863,0.0014204321284092423,5.896946775246734e-4,0.0059245023284936376,0.003763506545791667,9.065329839375838e-4,0.0026789193877025785,0.002725762204294395,0.00824077453850898,5.055119299098111e-4,0.08562644361814359,0.1282330416655108,0,0.005544563759388686,3.634435976428373e-4,0,0.004814263437143449,8.752979159975922e-4,0.0020783893782708876,8.645205714161261e-4,0.0014039104385109812,0.0014119447085790115,0.0018393362707816623,2.5111222549475845e-4,0.0028879522442260357,3.632490176825592e-4,0.0022329295020397065,0.0021425707878924426,0.19280554661410573,0.002453823344510077,0.11388214754356828,0.0019669863385622143,0.007771532103430708,0.009395629483377533,0.010727112396347034,0.006014201207997927,0.00788765794887211,0.022671882052314633,0,0.26111709933209165,0.012467667860520983,0.0015966767406770984,0,0.021839502268858862,0.008989779648039193,2.452810232538026e-4,0,0.04195079254811173,0,0.079642271936439,0.20063415065542045,5.4120875959105e-4,0.006863816487147055,0,0.06892436941922925,0.0034595716535318977,0.00279716515294663,0.0016591129114942147,0.003932848976801178,0.002472970941469348,0.0027553925656724136,0.0033413068436561355,0.001543710136716194,0.006683900014696687,3.2398248914450425e-4,0.002051359046631126,0.004934586140773735,7.409075390974003e-4,0,0.0020923911570506983,0.0013455078147738416,0,6.619652895496719e-4,0.006273317201875653,5.495207123037777e-4,0.0031553978177608247,0.0040660788269529105,0.0032162435332578577,0.03151666996136147,0.031745088340688316,0.005814873897442642,0,0.0013578803530659538,0.0021961468519902153,0,0.0649421268586843,0.04382409405354047,0.014384225878419827,3.5307989692415616e-4,0,0.017527269112862846,0.06197896109575885,0.05755937419364245,0.007273472360940425,7.164057555174231e-4,0.0034929151586450633,0.0032255422104996165,0.06091525728260327,0.20407702792308258,0.007377071692539618,0.13814033991698996,0.007610199729113166,0.007643523302386112,0.012775392319527496,0.00727862870081265,0.016791563006601697,0.2127948073304735,0.0849831722994251,0.05046974526619152,0.01895155769327251,0.010734410593203405,0.00272983705999208,0.008814231860988517,0.004607900636781503,0.001439799682374794,0.010524118056853667,0.0014768125041923661,0.0056704562442219785,0.027995251489805927,0.01641878029841577,0.015296751911015467,0.014900615513500828,0.011764984360499772,0.01152753194625432,0.037930408550346316,0.006996974372696565,0.008397365729477128,NA
