BBA_1,BBA_2,BBA_3,BBB_1,BBB_2,BBB_3,BBC_1,BBC_2,BBC_3,BWA_1,BWA_2,BWA_3,BWB_1,BWB_2,BWB_3,BWC_1,BWC_2,BWC_3,CBA_1,CBA_2,CBA_3,CBB_1,CBB_2,CBB_3,CBC_1,CBC_2,CBC_3,CCA_1,CCA_2,CCA_3,CCB_1,CCB_2,CCB_3,CCC_1,CCC_2,CCC_3,CHA_1,CHA_2,CHA_3,CHB_1,CHB_2,CHB_3,CHC_1,CHC_2,CHC_3,CPA_1,CPA_2,CPA_3,CPB_1,CPB_2,CPB_3,CPC_1,CPC_2,CPC_3,DPA_1,DPA_2,DPA_3,DPB_1,DPB_2,DPB_3,DPC_1,DPC_2,DPC_3,EBA_1,EBA_2,EBA_3,EBB_1,EBB_2,EBB_3,EBC_1,EBC_2,EBC_3,FCA_1,FCA_2,FCA_3,FCB_1,FCB_2,FCB_3,FCC_1,FCC_2,FCC_3,FPA_1,FPA_2,FPA_3,FPB_1,FPB_2,FPB_3,FPC_1,FPC_2,FPC_3,LHA_1,LHA_2,LHA_3,LHB_1,LHB_2,LHB_3,LHC_1,LHC_2,LHC_3,RBA_1,RBA_2,RBA_3,RBB_1,RBB_2,RBB_3,RBC_1,RBC_2,RBC_3,SAA_1,SAA_2,SAA_3,SAB_1,SAB_2,SAB_3,SAC_1,SAC_2,SAC_3,SCA_1,SCA_2,SCA_3,SCAR_1,SCAR_2,SCAR_3,SCB_1,SCB_2,SCB_3,SCBR_1,SCBR_2,SCBR_3,SCC_1,SCC_2,SCC_3,SCCR_1,SCCR_2,SCCR_3,SMA_1,SMA_2,SMA_3,SMB_1,SMB_2,SMB_3,SMC_1,SMC_2,SMC_3,SPA_1,SPA_2,SPA_3,SPB_1,SPB_2,SPB_3,SPC_1,SPC_2,SPC_3,WCA_1,WCA_2,WCA_3,WCB_1,WCB_2,WCB_3,WCC_1,WCC_2,WCC_3,sum.taxonomy
1403,775,1126,3370,2581,16689,2254,1127,3995,0,0,0,0,0,0,0,0,0,6780,960,4338,17325,783,58,8349,1564,4399,1842,2335,367,5988,853,1681,871,0,0,302,114,2727,1824,459,8864,228,434,182,4404,831,662,2343,2087,144,478,646,1023,2069,258,6306,35,0,696,1015,2904,3744,1224,580,1585,181,369,1616,4,277,1099,53,5,340,0,211,4,719,1167,32,21,53,0,2218,0,130,1157,0,493,789,805,1563,1676,893,2848,670,149,23,781,394,420,305,99,66,115,126,63,1442,55,423,175,144,84,1752,183,0,3782,1830,2080,4640,964,747,298,323,174,12052,2497,495,27,1089,1494,4362,601,798,857,17,62,1715,703,0,418,446,111,329,159,236,314,17,1089,0,0,0,17059,5153,5903,5595,5360,15944,9042,4426,9802,Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica
0,0,0,0,0,0,417,0,1438,0,2144,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,0,0,1797,2725,56,0,518,0,0,0,0,0,0,0,0,0,0,1571,2229,2263,2042,8049,11703,4189,4289,4995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6588,5393,5449,8701,6199,26040,2731,3387,11991,338,235,0,0,0,0,72,575,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,0,0,0,0,0,0,0,0,0,0,213,1628,0,0,0,0,1891,0,0,0,0,0,0,0,0,4145,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus
13,8,0,52,14,202,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,451,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,11,0,0,13,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,32,23,0,23,2,43,32,0,7,Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys notatus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,0,194,0,801,737,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;;
0,0,0,0,0,0,0,0,0,36,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,0,0,0,0,0,0,0,0,0,38,9,0,24,0,0,0,0,0,0,0,24,789,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;;;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,29,Eukaryota;Chordata;Aves;Passeriformes;Corvidae;Corvus;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,6,0,0,0,0,59,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,58,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Galeorhinus;Galeorhinus galeus
0,0,0,0,0,0,0,0,0,0,0,0,0,2483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048,0,0,0,0,0,0,32,0,0,0,0,0,43,0,0,0,139,0,0,854,0,0,0,463,0,0,0,1029,0,0,15,67,0,0,0,344,0,161,0,0,1092,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,113,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
7,9,0,36,38,136,30,4,57,0,0,0,100,14,384,132,2,487,890,899,352,2260,107,0,19390,2753,8607,67,44,5258,56,14,16,132,0,21,9,6,90,37,29,131,23,97,5,1045,1010,0,118,11,0,137,6,24,5,5,40,12,3,28,5,53,24,1414,26,931,10,89,359,140,72,83,304,0,1856,187,5,0,612,75,4,0,10,0,1843,738,12,127,0,310,36,33,19,41,24,88,17,7,94,3,44,32,5,0,20,9,0,11,73,2,69,77,63,656,182,27,0,8,15,0,357,218,39,5,0,201,863,237,35,6,32,19,284,55,42,1414,18,23,147,21,130,1336,261,134,61,42,8,62,22,21,67,5,48,682,81,144,131,83,211,500,145,111,NA
