"","seq_number","sum.taxonomy"
"1","merged_elas_fishcard_12S_all_2","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"2","merged_elas_fishcard_12S_all_3","Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"3","merged_elas_fishcard_12S_all_4","Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"4","merged_elas_fishcard_12S_all_12",NA
"5","merged_elas_fishcard_12S_all_21","Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni"
"6","merged_elas_fishcard_12S_all_93","Eukaryota;Chordata;Actinopteri;;Embiotocidae;;"
"7","merged_elas_fishcard_12S_all_111","Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"8","merged_elas_fishcard_12S_all_115","Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"9","merged_elas_fishcard_12S_all_146","Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"10","merged_elas_fishcard_12S_all_175","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Pan;Pan paniscus"
"11","merged_elas_fishcard_12S_all_200","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"12","merged_elas_fishcard_12S_all_210",NA
"13","merged_elas_fishcard_12S_all_243","Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"14","merged_elas_fishcard_12S_all_259",NA
"15","merged_elas_fishcard_12S_all_267","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"16","merged_elas_fishcard_12S_all_301","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"17","merged_elas_fishcard_12S_all_314","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"18","merged_elas_fishcard_12S_all_566",NA
"19","merged_elas_fishcard_12S_all_575",NA
"20","merged_elas_fishcard_12S_all_603","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"21","merged_elas_fishcard_12S_all_767","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"22","merged_elas_fishcard_12S_all_875","Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Urolophidae;Urobatis;Urobatis halleri"
"23","merged_elas_fishcard_12S_all_947","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Pan;Pan paniscus"
"24","merged_elas_fishcard_12S_all_968","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"25","merged_elas_fishcard_12S_all_990","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Pan;Pan paniscus"
"26","merged_elas_fishcard_12S_all_1016","Eukaryota;Chordata;Mammalia;Primates;Cercopithecidae;Cercopithecus;"
"27","merged_elas_fishcard_12S_all_1024","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"28","merged_elas_fishcard_12S_all_1031","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"29","merged_elas_fishcard_12S_all_1088",NA
