"","seq_number","sum.taxonomy"
"1","merged_elas_fishcard_12S_all_2","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"2","merged_elas_fishcard_12S_all_10","Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans"
"3","merged_elas_fishcard_12S_all_12",NA
"4","merged_elas_fishcard_12S_all_13","Eukaryota;Chordata;Mammalia;Artiodactyla;Camelidae;Camelus;Camelus dromedarius"
"5","merged_elas_fishcard_12S_all_35","Eukaryota;Chordata;Mammalia;Artiodactyla;Camelidae;Camelus;Camelus dromedarius"
"6","merged_elas_fishcard_12S_all_49","Eukaryota;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos taurus"
"7","merged_elas_fishcard_12S_all_123","Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus"
"8","merged_elas_fishcard_12S_all_155","Eukaryota;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos taurus"
"9","merged_elas_fishcard_12S_all_168","Eukaryota;Chordata;Mammalia;Artiodactyla;Camelidae;Camelus;Camelus dromedarius"
"10","merged_elas_fishcard_12S_all_173","Eukaryota;Chordata;Mammalia;Artiodactyla;Camelidae;Camelus;Camelus dromedarius"
"11","merged_elas_fishcard_12S_all_202","Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo"
"12","merged_elas_fishcard_12S_all_236","Eukaryota;Chordata;Mammalia;Artiodactyla;Camelidae;Camelus;Camelus dromedarius"
"13","merged_elas_fishcard_12S_all_273","Eukaryota;Chordata;Mammalia;Artiodactyla;Camelidae;Camelus;Camelus dromedarius"
"14","merged_elas_fishcard_12S_all_285",NA
"15","merged_elas_fishcard_12S_all_291","Eukaryota;Chordata;Mammalia;Artiodactyla;Camelidae;Camelus;Camelus dromedarius"
"16","merged_elas_fishcard_12S_all_293","Eukaryota;Chordata;Mammalia;Artiodactyla;Camelidae;Camelus;Camelus dromedarius"
"17","merged_elas_fishcard_12S_all_309","Eukaryota;Chordata;Mammalia;Artiodactyla;Camelidae;Camelus;Camelus dromedarius"
"18","merged_elas_fishcard_12S_all_319",NA
"19","merged_elas_fishcard_12S_all_327","Eukaryota;Chordata;Mammalia;Artiodactyla;Camelidae;Camelus;Camelus dromedarius"
"20","merged_elas_fishcard_12S_all_390",NA
"21","merged_elas_fishcard_12S_all_398",NA
"22","merged_elas_fishcard_12S_all_457","Eukaryota;Chordata;Mammalia;Artiodactyla;Camelidae;Camelus;Camelus dromedarius"
"23","merged_elas_fishcard_12S_all_534","Eukaryota;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa"
"24","merged_elas_fishcard_12S_all_560",NA
"25","merged_elas_fishcard_12S_all_561",NA
"26","merged_elas_fishcard_12S_all_590",NA
"27","merged_elas_fishcard_12S_all_645",NA
"28","merged_elas_fishcard_12S_all_672",NA
"29","merged_elas_fishcard_12S_all_696",NA
"30","merged_elas_fishcard_12S_all_726",NA
"31","merged_elas_fishcard_12S_all_741",NA
"32","merged_elas_fishcard_12S_all_755","Eukaryota;Chordata;Mammalia;Artiodactyla;Camelidae;Camelus;Camelus dromedarius"
"33","merged_elas_fishcard_12S_all_764","Eukaryota;Chordata;Mammalia;Artiodactyla;Camelidae;Camelus;Camelus dromedarius"
"34","merged_elas_fishcard_12S_all_806",NA
"35","merged_elas_fishcard_12S_all_840","Eukaryota;Chordata;Mammalia;Artiodactyla;Camelidae;Camelus;Camelus dromedarius"
"36","merged_elas_fishcard_12S_all_846","Eukaryota;Chordata;Mammalia;Artiodactyla;Camelidae;Camelus;Camelus dromedarius"
"37","merged_elas_fishcard_12S_all_885",NA
"38","merged_elas_fishcard_12S_all_905","Eukaryota;Chordata;Mammalia;Artiodactyla;Camelidae;Camelus;Camelus dromedarius"
"39","merged_elas_fishcard_12S_all_907",NA
