"","Species","r.squared","term","estimate","std.error","statistic","p.value"
"1","Atherinops affinis",0.267367483852558,"(Intercept)",0.239128369939286,0.0573160270639627,4.17210302578068,0.000719268913729362
"2","Atherinops affinis",0.267367483852558,"mean_Seine_count",0.0176762486361214,0.00731507715024666,2.41641315232408,0.0279890443789324
"3","Engraulis mordax",0.0808818075569382,"(Intercept)",0.231600044077019,0.0649687455324756,3.56479168835498,0.00258447530241575
"4","Engraulis mordax",0.0808818075569382,"mean_Seine_count",-0.133525693678026,0.112529168166261,-1.18658740532715,0.252711214840191
"5","Leuresthes tenuis",0.00306382596983061,"(Intercept)",0.070799646855175,0.0352121376114024,2.0106602909631,0.0615267062587296
"6","Leuresthes tenuis",0.00306382596983061,"mean_Seine_count",-0.00334589589945048,0.0150887778384505,-0.221747310171416,0.82731606466946
"7","Menticirrhus undulatus",0.90896711454517,"(Intercept)",0.0174297248887032,0.012203382245674,1.42827001054416,0.172443837004224
"8","Menticirrhus undulatus",0.90896711454517,"mean_Seine_count",0.037294903186006,0.00295062869431897,12.6396463431039,9.66103344185252e-10
"9","Micrometrus minimus",0.0462225006085311,"(Intercept)",0.0493331658464047,0.0203348321992367,2.42604243610412,0.0274565002111097
"10","Micrometrus minimus",0.0462225006085311,"mean_Seine_count",0.00698617474159027,0.00793370907090866,0.880568556163369,0.391586700928088
"11","Surfperch",0.0599567530691058,"(Intercept)",0.160113693976525,0.0498568499719893,3.21146831511579,0.00544486548032856
"12","Surfperch",0.0599567530691058,"mean_Seine_count",0.00261955509332325,0.00259311877425983,1.01019479683146,0.327435908023515
"13","Triakis semifasciata",0.0263309780602121,"(Intercept)",0.0701853062397397,0.0222163505525531,3.15917351383681,0.00607707248148627
"14","Triakis semifasciata",0.0263309780602121,"mean_Seine_count",0.0300747702002435,0.0457208722415143,0.657790823442248,0.520024902273265
"15","Umbrina roncador",0.00127363520776641,"(Intercept)",0.0541357184112617,0.0406416981801767,1.3320240254544,0.201516296704056
"16","Umbrina roncador",0.00127363520776641,"mean_Seine_count",-0.000501275225205939,0.00350927157640582,-0.142843098429943,0.888197497272979
